arc_length,\delta = h,\delta = sqrt(2), \delta = 2h,Exact Solution,No Filter
0.137179,0.0461998,0.0785404,0.112954,0.0920829,-0.0212868
0.138593,0.0410542,0.075154,0.111397,0.0930358,-0.0302486
0.140007,0.0359086,0.0717675,0.10984,0.0939888,-0.0392105
0.141421,0.030763,0.068381,0.108283,0.0949418,-0.0481723
0.142836,0.0382278,0.0740464,0.112138,0.0959004,-0.0361057
0.14425,0.0456926,0.0797118,0.115993,0.0968589,-0.0240392
0.145664,0.0531575,0.0853773,0.119848,0.0978174,-0.0119726
0.147078,0.0606223,0.0910427,0.123703,0.098776,9.4033E-05
0.148492,0.0680872,0.0967081,0.127557,0.0997345,0.0121605
0.149907,0.075552,0.102374,0.131412,0.100693,0.0242271
0.151321,0.0830169,0.108039,0.135267,0.101652,0.0362938
0.152735,0.0904817,0.113704,0.139122,0.10261,0.0483604
0.154149,0.0979466,0.11937,0.142977,0.103569,0.0604269
0.155563,0.105411,0.125035,0.146831,0.104527,0.0724935
0.156978,0.112876,0.130701,0.150686,0.105486,0.0845601
0.158392,0.120341,0.136366,0.154541,0.106444,0.0966267
0.159806,0.127806,0.142032,0.158396,0.107403,0.108693
0.16122,0.135271,0.147697,0.162251,0.108361,0.12076
0.162635,0.142736,0.153362,0.166105,0.10932,0.132826
0.164049,0.1502,0.159028,0.16996,0.110278,0.144893
0.165463,0.157665,0.164693,0.173815,0.111237,0.15696
0.166877,0.16513,0.170359,0.17767,0.112195,0.169026
0.168291,0.172595,0.176024,0.181525,0.113154,0.181093
0.169706,0.18006,0.18169,0.185379,0.114113,0.193159
0.17112,0.187525,0.187355,0.189234,0.115071,0.205226
0.172534,0.19499,0.19302,0.193089,0.11603,0.217292
0.173948,0.202454,0.198686,0.196944,0.116988,0.229359
0.175362,0.209919,0.204351,0.200799,0.117947,0.241426
0.176777,0.217384,0.210017,0.204653,0.118905,0.253492
0.178191,0.224849,0.215682,0.208508,0.119864,0.265559
0.179605,0.232314,0.221348,0.212363,0.120822,0.277625
0.181019,0.239779,0.227013,0.216218,0.121781,0.289692
0.182434,0.247243,0.232678,0.220073,0.122739,0.301758
0.183848,0.254708,0.238344,0.223927,0.123698,0.313825
0.185262,0.262173,0.244009,0.227782,0.124656,0.325892
0.186676,0.269638,0.249675,0.231637,0.125615,0.337958
0.18809,0.277103,0.25534,0.235492,0.126574,0.350025
0.189505,0.284568,0.261006,0.239347,0.127532,0.362091
0.190919,0.292033,0.266671,0.243201,0.128491,0.374158
0.192333,0.299498,0.272337,0.247056,0.129449,0.386225
0.193747,0.306962,0.278002,0.250911,0.130408,0.398291
0.195161,0.314427,0.283667,0.254766,0.131366,0.410358
0.196576,0.321892,0.289333,0.258621,0.132325,0.422424
0.19799,0.329357,0.294998,0.262475,0.133283,0.434491
0.199404,0.336822,0.300664,0.26633,0.134242,0.446557
0.200818,0.344287,0.306329,0.270185,0.1352,0.458624
0.202233,0.351751,0.311995,0.27404,0.136159,0.470691
0.203647,0.359216,0.31766,0.277895,0.137117,0.482757
0.205061,0.366681,0.323325,0.281749,0.138076,0.494824
0.206475,0.374146,0.328991,0.285604,0.139034,0.50689
0.207889,0.381611,0.334656,0.289459,0.139993,0.518957
0.209304,0.389076,0.340322,0.293314,0.140952,0.531023
0.210718,0.396541,0.345987,0.297169,0.14191,0.54309
0.212132,0.404005,0.351653,0.301023,0.142869,0.555157
0.213546,0.397701,0.347529,0.298948,0.143831,0.5425
0.21496,0.391396,0.343406,0.296873,0.144794,0.529844
0.216375,0.385091,0.339283,0.294798,0.145757,0.517187
0.217789,0.378787,0.335159,0.292722,0.14672,0.50453
0.219203,0.372482,0.331036,0.290647,0.147683,0.491874
0.220617,0.366177,0.326913,0.288572,0.148646,0.479217
0.222032,0.359873,0.32279,0.286496,0.149609,0.466561
0.223446,0.353568,0.318666,0.284421,0.150572,0.453904
0.22486,0.347263,0.314543,0.282346,0.151534,0.441248
0.226274,0.340959,0.31042,0.280271,0.152497,0.428591
