arc_length,\delta = h,\delta = sqrt(2), \delta = 2h,Exact Solution,No Filter
0.632153,0.742208,0.662032,0.601205,0.430719,1.09786
0.633568,0.753002,0.669369,0.605872,0.431693,1.12333
0.634982,0.763796,0.676706,0.610539,0.432667,1.1488
0.636396,0.774589,0.684043,0.615206,0.433641,1.17428
0.63781,0.765372,0.67855,0.612475,0.434616,1.14722
0.639225,0.756155,0.673057,0.609744,0.435591,1.12016
0.640639,0.746938,0.667564,0.607013,0.436566,1.09309
0.642053,0.737721,0.662071,0.604282,0.437541,1.06603
0.643467,0.728504,0.656578,0.601551,0.438515,1.03897
0.644881,0.719287,0.651085,0.59882,0.43949,1.01191
0.646296,0.71007,0.645592,0.596089,0.440465,0.984849
0.64771,0.700853,0.640099,0.593358,0.44144,0.957787
0.649124,0.691636,0.634606,0.590627,0.442415,0.930726
0.650538,0.682419,0.629113,0.587896,0.44339,0.903665
0.651952,0.673202,0.62362,0.585165,0.444365,0.876604
0.653367,0.663985,0.618127,0.582434,0.44534,0.849542
0.654781,0.654768,0.612634,0.579703,0.446314,0.822481
0.656195,0.645551,0.607141,0.576972,0.447289,0.79542
0.657609,0.636334,0.601648,0.574241,0.448264,0.768358
0.659024,0.627117,0.596155,0.57151,0.449239,0.741297
0.660438,0.6179,0.590662,0.568779,0.450214,0.714235
0.661852,0.608683,0.585169,0.566048,0.451189,0.687174
0.663266,0.599465,0.579676,0.563317,0.452164,0.660113
0.66468,0.590249,0.574183,0.560586,0.453139,0.633052
0.666095,0.581032,0.56869,0.557855,0.454113,0.605991
0.667509,0.571814,0.563197,0.555124,0.455088,0.578929
0.668923,0.562598,0.557704,0.552393,0.456063,0.551868
0.670337,0.55338,0.552211,0.549662,0.457038,0.524806
0.671751,0.544163,0.546718,0.546931,0.458013,0.497745
0.673166,0.534946,0.541225,0.5442,0.458988,0.470683
0.67458,0.525729,0.535732,0.541469,0.459963,0.443622
0.675994,0.516512,0.530239,0.538738,0.460938,0.416561
0.677408,0.507295,0.524746,0.536007,0.461912,0.389499
0.678823,0.498078,0.519253,0.533276,0.462887,0.362438
0.680237,0.488861,0.51376,0.530545,0.463862,0.335377
0.681651,0.479644,0.508267,0.527814,0.464837,0.308316
0.683065,0.470427,0.502774,0.525083,0.465812,0.281254
0.684479,0.46121,0.497281,0.522352,0.466787,0.254193
0.685894,0.451993,0.491788,0.519621,0.467762,0.227131
0.687308,0.442776,0.486295,0.51689,0.468737,0.20007
0.688722,0.433559,0.480802,0.514159,0.469711,0.173009
0.690136,0.424342,0.475309,0.511428,0.470686,0.145947
0.69155,0.415125,0.469816,0.508697,0.471661,0.118886
0.692965,0.405908,0.464323,0.505965,0.472636,0.0918245
0.694379,0.396691,0.45883,0.503235,0.473611,0.0647636
0.695793,0.387474,0.453337,0.500503,0.474586,0.0377018
0.697207,0.378257,0.447844,0.497773,0.475561,0.0106408
0.698622,0.36904,0.442352,0.495042,0.476536,-0.0164202
0.700036,0.359823,0.436858,0.49231,0.477511,-0.043482
0.70145,0.350606,0.431366,0.48958,0.478485,-0.070543
0.702864,0.341389,0.425872,0.486848,0.47946,-0.0976048
0.704278,0.332172,0.42038,0.484117,0.480435,-0.124666
0.705693,0.322955,0.414886,0.481386,0.48141,-0.151728
0.707107,0.313738,0.409394,0.478655,0.482385,-0.178789
0.708521,0.325411,0.417081,0.483441,0.483361,-0.14524
0.709935,0.337084,0.424768,0.488227,0.484336,-0.111692
0.711349,0.348758,0.432456,0.493012,0.485312,-0.0781423
0.712764,0.360431,0.440144,0.497798,0.486288,-0.0445942
0.714178,0.372105,0.447831,0.502584,0.487263,-0.0110461
0.715592,0.383778,0.455518,0.507369,0.488239,0.022502
0.717006,0.395452,0.463206,0.512155,0.489215,0.0560521
0.718421,0.407125,0.470894,0.516941,0.49019,0.0896002
0.719835,0.418799,0.478581,0.521726,0.491166,0.123148
0.721249,0.430472,0.486269,0.526512,0.492142,0.156696
0.722663,0.442145,0.493956,0.531297,0.493117,0.190244
0.724077,0.453819,0.501644,0.536083,0.494093,0.223795
0.725492,0.465492,0.509331,0.540869,0.495069,0.257343
0.726906,0.477166,0.517019,0.545654,0.496045,0.290891
0.72832,0.488839,0.524706,0.55044,0.49702,0.324439
0.729734,0.500512,0.532394,0.555225,0.497996,0.357987
0.731148,0.512186,0.540081,0.560011,0.498972,0.391537
0.732563,0.523859,0.547769,0.564797,0.499947,0.425085
0.733977,0.535533,0.555456,0.569582,0.500923,0.458633
0.735391,0.547206,0.563144,0.574368,0.501899,0.492181
0.736805,0.55888,0.570831,0.579154,0.502874,0.525731
0.738219,0.570553,0.578519,0.583939,0.50385,0.55928
0.739634,0.582227,0.586206,0.588725,0.504826,0.592828
0.741048,0.5939,0.593894,0.593511,0.505801,0.626376
0.742462,0.605573,0.601581,0.598296,0.506777,0.659924
0.743876,0.617247,0.609269,0.603082,0.507753,0.693474
0.745291,0.62892,0.616956,0.607868,0.508729,0.727022
0.746705,0.640594,0.624644,0.612653,0.509704,0.76057
0.748119,0.652267,0.632331,0.617439,0.51068,0.794118
0.749533,0.66394,0.640019,0.622224,0.511656,0.827666
0.750947,0.675614,0.647706,0.62701,0.512631,0.861216
0.752362,0.687287,0.655394,0.631796,0.513607,0.894764
0.753776,0.698961,0.663081,0.636581,0.514583,0.928313
0.75519,0.710634,0.670769,0.641367,0.515558,0.961861
0.756604,0.722308,0.678457,0.646153,0.516534,0.995411
0.758018,0.733981,0.686144,0.650938,0.51751,1.02896
0.759433,0.745655,0.693831,0.655724,0.518485,1.06251
0.760847,0.757328,0.701519,0.660509,0.519461,1.09606
0.762261,0.769001,0.709206,0.665295,0.520437,1.1296
0.763675,0.780675,0.716894,0.670081,0.521413,1.16315
0.76509,0.792348,0.724582,0.674866,0.522388,1.1967
0.766504,0.804022,0.732269,0.679652,0.523364,1.23025
0.767918,0.815695,0.739956,0.684438,0.52434,1.2638
0.769332,0.827369,0.747644,0.689223,0.525315,1.29735
0.770746,0.839042,0.755332,0.694009,0.526291,1.3309
0.772161,0.850715,0.763019,0.698795,0.527267,1.36444
0.773575,0.862389,0.770706,0.70358,0.528242,1.39799
0.774989,0.874062,0.778394,0.708366,0.529218,1.43154
0.776403,0.885736,0.786082,0.713152,0.530194,1.46509
0.777817,0.897409,0.793769,0.717937,0.531169,1.49864
0.779232,0.887391,0.787989,0.715156,0.532146,1.46265
0.780646,0.877373,0.782209,0.712374,0.533122,1.42666
0.78206,0.867356,0.77643,0.709593,0.534099,1.39067
0.783474,0.857337,0.77065,0.706812,0.535075,1.35467
0.784889,0.84732,0.76487,0.704031,0.536052,1.31868
0.786303,0.837302,0.75909,0.701249,0.537028,1.28269
0.787717,0.827284,0.75331,0.698468,0.538004,1.2467
0.789131,0.817266,0.74753,0.695687,0.538981,1.21071
0.790545,0.807248,0.741751,0.692905,0.539957,1.17472
0.79196,0.79723,0.735971,0.690124,0.540934,1.13873
0.793374,0.787212,0.730191,0.687343,0.54191,1.10274
0.794788,0.777195,0.724411,0.684562,0.542887,1.06675
0.796202,0.767176,0.718631,0.68178,0.543863,1.03076
0.797616,0.757158,0.712851,0.678999,0.54484,0.994768
0.799031,0.747141,0.707072,0.676218,0.545816,0.958778
0.800445,0.737123,0.701292,0.673436,0.546792,0.922788
0.801859,0.727105,0.695512,0.670655,0.547769,0.886798
0.803273,0.717087,0.689732,0.667874,0.548745,0.850806
0.804688,0.707069,0.683952,0.665093,0.549722,0.814815
0.806102,0.697051,0.678173,0.662311,0.550698,0.778825
0.807516,0.687033,0.672393,0.65953,0.551675,0.742835
0.80893,0.677015,0.666613,0.656749,0.552651,0.706843
0.810344,0.666997,0.660833,0.653967,0.553627,0.670853
0.811759,0.656979,0.655053,0.651186,0.554604,0.634862
0.813173,0.646962,0.649274,0.648405,0.55558,0.598872
0.814587,0.636944,0.643494,0.645624,0.556557,0.562882
0.816001,0.626926,0.637714,0.642842,0.557533,0.52689
0.817415,0.616908,0.631934,0.640061,0.55851,0.4909
0.81883,0.60689,0.626154,0.63728,0.559486,0.454909
0.820244,0.596872,0.620375,0.634499,0.560462,0.418919
0.821658,0.586854,0.614595,0.631717,0.561439,0.382929
0.823072,0.576836,0.608815,0.628936,0.562415,0.346937
0.824486,0.566818,0.603035,0.626155,0.563392,0.310946
0.825901,0.556801,0.597255,0.623373,0.564368,0.274956
0.827315,0.546783,0.591475,0.620592,0.565345,0.238966
0.828729,0.536764,0.585695,0.617811,0.566321,0.202974
0.830143,0.526747,0.579916,0.615029,0.567298,0.166984
0.831558,0.516729,0.574136,0.612248,0.568274,0.130993
0.832972,0.506711,0.568356,0.609467,0.56925,0.0950033
0.834386,0.496693,0.562576,0.606686,0.570227,0.0590131
0.8358,0.486675,0.556796,0.603904,0.571203,0.0230208
0.837214,0.476657,0.551017,0.601123,0.57218,-0.0129694
0.838629,0.466639,0.545237,0.598342,0.573156,-0.0489596
0.840043,0.456622,0.539457,0.595561,0.574133,-0.0849498
0.841457,0.446603,0.533677,0.592779,0.575109,-0.120942
0.842871,0.436585,0.527897,0.589998,0.576085,-0.156932
0.844285,0.426568,0.522117,0.587217,0.577062,-0.192922
0.8457,0.41655,0.516338,0.584435,0.578038,-0.228913
0.847114,0.406532,0.510558,0.581654,0.579015,-0.264903
0.848528,0.396514,0.504778,0.578873,0.579991,-0.300893
0.849942,0.408652,0.512513,0.58359,0.580969,-0.259803
0.851357,0.42079,0.520247,0.588307,0.581946,-0.218713
0.852771,0.432928,0.527982,0.593024,0.582923,-0.177623
0.854185,0.445066,0.535716,0.597741,0.583901,-0.136533
0.855599,0.457205,0.543451,0.602459,0.584878,-0.0954405
0.857013,0.469343,0.551185,0.607176,0.585856,-0.0543504
0.858428,0.481481,0.55892,0.611893,0.586833,-0.0132603
0.859842,0.493619,0.566654,0.61661,0.58781,0.0278297
0.861256,0.505758,0.574389,0.621327,0.588788,0.0689222
0.86267,0.517896,0.582124,0.626045,0.589765,0.110012
0.864084,0.530034,0.589858,0.630762,0.590743,0.151102
0.865499,0.542172,0.597593,0.635479,0.59172,0.192192
0.866913,0.55431,0.605327,0.640196,0.592697,0.233283
0.868327,0.566449,0.613062,0.644913,0.593675,0.274375
0.869741,0.578587,0.620796,0.64963,0.594652,0.315465
0.871156,0.590725,0.628531,0.654347,0.59563,0.356555
0.87257,0.602863,0.636265,0.659065,0.596607,0.397645
0.873984,0.615001,0.644,0.663782,0.597584,0.438735
0.875398,0.627139,0.651735,0.668499,0.598562,0.479828
0.876812,0.639277,0.659469,0.673216,0.599539,0.520918
0.878227,0.651415,0.667204,0.677933,0.600517,0.562008
0.879641,0.663553,0.674938,0.68265,0.601494,0.603098
0.881055,0.675692,0.682673,0.687368,0.602472,0.644191
0.882469,0.68783,0.690407,0.692085,0.603449,0.685281
0.883883,0.699968,0.698142,0.696802,0.604426,0.726371
0.885298,0.712106,0.705876,0.701519,0.605404,0.767461
0.886712,0.724244,0.713611,0.706236,0.606381,0.808551
0.888126,0.736383,0.721346,0.710954,0.607359,0.849643
0.88954,0.748521,0.72908,0.715671,0.608336,0.890733
0.890955,0.760659,0.736815,0.720388,0.609313,0.931823
0.892369,0.772797,0.744549,0.725105,0.610291,0.972914
0.893783,0.784936,0.752284,0.729822,0.611268,1.01401
0.895197,0.797074,0.760018,0.734539,0.612246,1.0551
0.896611,0.809212,0.767753,0.739257,0.613223,1.09619
0.898026,0.82135,0.775487,0.743974,0.6142,1.13728
0.89944,0.833488,0.783222,0.748691,0.615178,1.17837
0.900854,0.845626,0.790957,0.753408,0.616155,1.21946
0.902268,0.857764,0.798691,0.758125,0.617133,1.26055
0.903682,0.869902,0.806426,0.762842,0.61811,1.30164
0.905097,0.88204,0.81416,0.767559,0.619087,1.34273
0.906511,0.894178,0.821895,0.772277,0.620065,1.38382
0.907925,0.906317,0.829629,0.776994,0.621042,1.42491
0.909339,0.918455,0.837364,0.781711,0.62202,1.466
0.910754,0.930593,0.845098,0.786428,0.622997,1.50709
0.912168,0.942731,0.852833,0.791145,0.623974,1.54818
0.913582,0.95487,0.860568,0.795863,0.624952,1.58927
0.914996,0.967008,0.868302,0.80058,0.625929,1.63036
0.91641,0.979146,0.876037,0.805297,0.626907,1.67145
0.917825,0.991284,0.883771,0.810014,0.627884,1.71254
0.919239,1.00342,0.891506,0.814731,0.628861,1.75363
0.920653,0.992898,0.885545,0.811781,0.629841,1.71263
0.922067,0.982374,0.879585,0.808831,0.630821,1.67163
0.923481,0.971851,0.873625,0.805881,0.6318,1.63063
0.924896,0.961327,0.867665,0.80293,0.63278,1.58963
0.92631,0.950803,0.861705,0.79998,0.633759,1.54863
0.927724,0.940279,0.855745,0.79703,0.634739,1.50763
0.929138,0.929755,0.849785,0.79408,0.635718,1.46663
0.930553,0.919232,0.843825,0.791129,0.636698,1.42563
0.931967,0.908708,0.837865,0.788179,0.637677,1.38462
0.933381,0.898184,0.831904,0.785229,0.638657,1.34362
0.934795,0.88766,0.825944,0.782278,0.639636,1.30262
0.936209,0.877136,0.819984,0.779328,0.640616,1.26162
0.937624,0.866613,0.814024,0.776378,0.641595,1.22062
0.939038,0.856089,0.808064,0.773428,0.642575,1.17962
0.940452,0.845564,0.802104,0.770477,0.643554,1.13861
0.941866,0.835041,0.796144,0.767527,0.644534,1.09761
0.94328,0.824517,0.790184,0.764577,0.645513,1.05661
0.944695,0.813993,0.784224,0.761627,0.646493,1.01561
0.946109,0.803469,0.778263,0.758676,0.647473,0.974609
0.947523,0.792945,0.772303,0.755726,0.648452,0.933608
0.948937,0.782422,0.766343,0.752776,0.649432,0.892607
0.950351,0.771898,0.760383,0.749826,0.650411,0.851606
0.951766,0.761374,0.754423,0.746876,0.651391,0.810606
0.95318,0.75085,0.748462,0.743925,0.65237,0.769602
0.954594,0.740326,0.742502,0.740975,0.65335,0.728602
0.956008,0.729803,0.736542,0.738025,0.654329,0.687601
0.957423,0.719279,0.730582,0.735075,0.655309,0.6466
0.958837,0.708755,0.724622,0.732124,0.656288,0.605599
0.960251,0.698231,0.718662,0.729174,0.657268,0.564596
0.961665,0.687707,0.712702,0.726224,0.658247,0.523595
0.963079,0.677183,0.706742,0.723274,0.659227,0.482594
0.964494,0.66666,0.700782,0.720323,0.660206,0.441593
0.965908,0.656135,0.694821,0.717373,0.661186,0.40059
0.967322,0.645612,0.688861,0.714423,0.662165,0.359589
0.968736,0.635088,0.682901,0.711473,0.663145,0.318588
0.97015,0.624564,0.676941,0.708522,0.664125,0.277588
0.971565,0.614041,0.670981,0.705572,0.665104,0.236587
0.972979,0.603516,0.665021,0.702622,0.666084,0.195584
0.974393,0.592993,0.659061,0.699672,0.667063,0.154583
0.975807,0.582469,0.653101,0.696721,0.668043,0.113582
0.977222,0.571945,0.647141,0.693771,0.669022,0.0725812
0.978636,0.561422,0.64118,0.690821,0.670002,0.0315803
0.98005,0.550897,0.63522,0.687871,0.670981,-0.00942291
0.981464,0.540374,0.62926,0.68492,0.671961,-0.0504237
0.982878,0.52985,0.6233,0.68197,0.67294,-0.0914245
0.984293,0.519326,0.61734,0.67902,0.67392,-0.132425
0.985707,0.508802,0.61138,0.67607,0.674899,-0.173429
0.987121,0.498278,0.605419,0.673119,0.675879,-0.214429
0.988535,0.487754,0.599459,0.670169,0.676858,-0.25543
0.989949,0.477231,0.593499,0.667219,0.677838,-0.296431
0.991364,0.490102,0.601518,0.671842,0.678824,-0.250385
0.992778,0.502975,0.609537,0.676465,0.67981,-0.204334
0.994192,0.515847,0.617556,0.681087,0.680796,-0.158287
0.995606,0.528718,0.625575,0.68571,0.681782,-0.112239
0.997021,0.54159,0.633594,0.690333,0.682768,-0.0661914
0.998435,0.554462,0.641613,0.694956,0.683754,-0.0201438
0.999849,0.567335,0.649632,0.699579,0.68474,0.0259065
1.00126,0.580206,0.657651,0.704201,0.685726,0.0719541
1.00268,0.593078,0.66567,0.708824,0.686712,0.118002
1.00409,0.60595,0.673689,0.713447,0.687698,0.164049
1.00551,0.618823,0.681708,0.71807,0.688684,0.2101
1.00692,0.631694,0.689727,0.722693,0.68967,0.256147
1.00833,0.644566,0.697746,0.727315,0.690656,0.302195
1.00975,0.657438,0.705764,0.731938,0.691642,0.348242
1.01116,0.67031,0.713783,0.736561,0.692628,0.39429
1.01258,0.683182,0.721803,0.741184,0.693614,0.44034
1.01399,0.696054,0.729821,0.745807,0.6946,0.486388
1.01541,0.708926,0.73784,0.750429,0.695586,0.532435
1.01682,0.721798,0.745859,0.755052,0.696572,0.578483
1.01823,0.73467,0.753879,0.759675,0.697558,0.624533
1.01965,0.747542,0.761897,0.764298,0.698544,0.670581
1.02106,0.760414,0.769916,0.768921,0.69953,0.716629
1.02248,0.773286,0.777935,0.773543,0.700516,0.762676
1.02389,0.786158,0.785954,0.778166,0.701502,0.808724
1.0253,0.79903,0.793973,0.782789,0.702488,0.854774
1.02672,0.811902,0.801992,0.787412,0.703474,0.900822
1.02813,0.824774,0.810011,0.792035,0.704461,0.946869
1.02955,0.837646,0.81803,0.796657,0.705447,0.992917
1.03096,0.850517,0.826049,0.80128,0.706433,1.03896
1.03238,0.86339,0.834068,0.805903,0.707419,1.08501
1.03379,0.876262,0.842087,0.810526,0.708405,1.13106
1.0352,0.889134,0.850106,0.815148,0.709391,1.17711
1.03662,0.902005,0.858124,0.819771,0.710377,1.22316
1.03803,0.914878,0.866144,0.824394,0.711363,1.26921
1.03945,0.92775,0.874163,0.829017,0.712349,1.31526
1.04086,0.940622,0.882182,0.83364,0.713335,1.3613
1.04228,0.953493,0.8902,0.838262,0.714321,1.40735
1.04369,0.966365,0.898219,0.842885,0.715307,1.4534
1.0451,0.979238,0.906239,0.847508,0.716293,1.49945
1.04652,0.99211,0.914257,0.852131,0.717279,1.5455
1.04793,1.00498,0.922276,0.856754,0.718265,1.59154
1.04935,1.01785,0.930295,0.861376,0.719251,1.63759
1.05076,1.03072,0.938314,0.865999,0.720237,1.68364
1.05217,1.0436,0.946333,0.870622,0.721223,1.72969
1.05359,1.05647,0.954352,0.875245,0.722209,1.77574
1.055,1.06934,0.962371,0.879868,0.723195,1.82178
1.05642,1.08221,0.97039,0.88449,0.724181,1.86783
1.05783,1.09509,0.978409,0.889113,0.725167,1.91388
1.05925,1.10796,0.986428,0.893736,0.726153,1.95993
1.06066,1.12083,0.994447,0.898359,0.727139,2.00598
1.06207,1.10991,0.988353,0.895118,0.728148,1.95424
1.06349,1.09899,0.982258,0.891876,0.729157,1.90251
1.0649,1.08807,0.976164,0.888635,0.730166,1.85077
1.06632,1.07715,0.97007,0.885393,0.731175,1.79904
1.06773,1.06623,0.963975,0.882152,0.732184,1.74731
1.06915,1.05531,0.957881,0.87891,0.733193,1.69557
1.07056,1.04439,0.951787,0.875669,0.734202,1.64384
1.07197,1.03347,0.945693,0.872428,0.735211,1.5921
1.07339,1.02255,0.939598,0.869186,0.73622,1.54037
1.0748,1.01163,0.933504,0.865945,0.737228,1.48864
1.07622,1.00071,0.92741,0.862703,0.738237,1.4369
1.07763,0.989785,0.921315,0.859462,0.739246,1.38517
1.07904,0.978865,0.915221,0.85622,0.740255,1.33343
1.08046,0.967945,0.909127,0.852979,0.741264,1.2817
1.08187,0.957025,0.903033,0.849738,0.742273,1.22996
1.08329,0.946105,0.896939,0.846496,0.743282,1.17823
1.0847,0.935184,0.890844,0.843255,0.744291,1.12649
1.08612,0.924264,0.88475,0.840013,0.7453,1.07476
1.08753,0.913343,0.878656,0.836772,0.746309,1.02303
1.08894,0.902423,0.872561,0.833531,0.747318,0.971294
1.09036,0.891502,0.866467,0.830289,0.748327,0.919557
1.09177,0.880582,0.860373,0.827048,0.749336,0.867824
1.09319,0.869662,0.854279,0.823806,0.750345,0.81609
1.0946,0.858742,0.848184,0.820565,0.751354,0.764356
1.09602,0.847822,0.84209,0.817324,0.752363,0.712623
1.09743,0.836901,0.835996,0.814082,0.753372,0.660886
1.09884,0.825981,0.829901,0.810841,0.754381,0.609153
1.10026,0.815061,0.823807,0.807599,0.75539,0.557419
1.10167,0.80414,0.817713,0.804358,0.756398,0.505686
1.10309,0.79322,0.811619,0.801116,0.757407,0.453952
1.1045,0.782299,0.805524,0.797875,0.758416,0.402215
1.10592,0.771379,0.79943,0.794634,0.759425,0.350482
1.10733,0.760459,0.793336,0.791392,0.760434,0.298748
1.10874,0.749539,0.787242,0.788151,0.761443,0.247015
1.11016,0.738618,0.781147,0.784909,0.762452,0.195278
1.11157,0.727698,0.775053,0.781668,0.763461,0.143544
1.11299,0.716778,0.768959,0.778426,0.76447,0.0918108
1.1144,0.705858,0.762864,0.775185,0.765479,0.0400773
1.11581,0.694937,0.75677,0.771944,0.766488,-0.0116563
1.11723,0.684017,0.750676,0.768702,0.767497,-0.0633929
1.11864,0.673096,0.744582,0.765461,0.768506,-0.115127
1.12006,0.662176,0.738487,0.762219,0.769515,-0.16686
1.12147,0.651256,0.732393,0.758978,0.770524,-0.218594
1.12289,0.640335,0.726299,0.755736,0.771533,-0.27033
1.1243,0.629415,0.720204,0.752495,0.772542,-0.322064
1.12571,0.618495,0.71411,0.749254,0.773551,-0.373797
1.12713,0.607575,0.708016,0.746012,0.77456,-0.425531
1.12854,0.596655,0.701922,0.742771,0.775568,-0.477265
1.12996,0.585734,0.695827,0.739529,0.776577,-0.529001
1.13137,0.574814,0.689733,0.736288,0.777586,-0.580733
1.13279,0.587699,0.697118,0.739301,0.778684,-0.514002
1.1342,0.600584,0.704502,0.742315,0.779782,-0.447271
1.13561,0.61347,0.711887,0.745328,0.78088,-0.380539
1.13703,0.626356,0.719272,0.748342,0.781978,-0.313804
1.13844,0.639241,0.726656,0.751355,0.783076,-0.247072
1.13986,0.652126,0.734041,0.754368,0.784174,-0.180341
1.14127,0.665012,0.741425,0.757382,0.785272,-0.11361
1.14268,0.677898,0.74881,0.760395,0.78637,-0.0468743
1.1441,0.690783,0.756195,0.763409,0.787468,0.0198571
1.14551,0.703668,0.76358,0.766422,0.788566,0.0865885
1.14693,0.716553,0.770964,0.769435,0.789664,0.15332
1.14834,0.729439,0.778349,0.772449,0.790762,0.220051
1.14976,0.742325,0.785734,0.775462,0.791861,0.286787
1.15117,0.75521,0.793118,0.778476,0.792959,0.353518
1.15258,0.768095,0.800503,0.781489,0.794057,0.420249
1.154,0.780981,0.807887,0.784502,0.795155,0.486981
1.15541,0.793866,0.815272,0.787516,0.796253,0.553712
1.15683,0.806752,0.822657,0.790529,0.797351,0.620448
1.15824,0.819637,0.830041,0.793543,0.798449,0.687179
1.15966,0.832523,0.837426,0.796556,0.799547,0.75391
1.16107,0.845408,0.84481,0.799569,0.800645,0.820642
1.16248,0.858294,0.852195,0.802583,0.801743,0.887377
1.1639,0.871179,0.85958,0.805596,0.802841,0.954109
1.16531,0.884064,0.866964,0.80861,0.803939,1.02084
1.16673,0.89695,0.874349,0.811623,0.805037,1.08757
1.16814,0.909835,0.881734,0.814636,0.806135,1.1543
1.16955,0.922721,0.889119,0.81765,0.807233,1.22104
1.17097,0.935606,0.896503,0.820663,0.808331,1.28777
1.17238,0.948492,0.903888,0.823676,0.809429,1.3545
1.1738,0.961377,0.911272,0.82669,0.810527,1.42123
1.17521,0.974262,0.918657,0.829703,0.811625,1.48796
1.17663,0.987148,0.926042,0.832717,0.812723,1.5547
1.17804,1.00003,0.933426,0.83573,0.813821,1.62143
1.17945,1.01292,0.940811,0.838743,0.814919,1.68816
1.18087,1.0258,0.948195,0.841757,0.816017,1.75489
1.18228,1.03869,0.95558,0.84477,0.817115,1.82163
1.1837,1.05158,0.962965,0.847784,0.818213,1.88836
1.18511,1.06446,0.970349,0.850797,0.819311,1.95509
1.18653,1.07735,0.977734,0.85381,0.820409,2.02182
1.18794,1.09023,0.985118,0.856824,0.821507,2.08855
1.18935,1.10312,0.992503,0.859837,0.822605,2.15529
1.19077,1.116,0.999888,0.862851,0.823703,2.22202
1.19218,1.12889,1.00727,0.865864,0.824801,2.28875
1.1936,1.14177,1.01466,0.868877,0.825899,2.35548
1.19501,1.15466,1.02204,0.871891,0.826997,2.42222
1.19642,1.16754,1.02943,0.874904,0.828095,2.48895
1.19784,1.18043,1.03681,0.877918,0.829193,2.55568
1.19925,1.19331,1.0442,0.880931,0.830291,2.62241
1.20067,1.2062,1.05158,0.883944,0.831389,2.68914
1.20208,1.21909,1.05896,0.886958,0.832487,2.75588
1.2035,1.20878,1.05208,0.881616,0.833961,2.67839
1.20491,1.19847,1.0452,0.876274,0.835434,2.6009
1.20632,1.18817,1.03832,0.870932,0.836908,2.52341
1.20774,1.17786,1.03144,0.86559,0.838381,2.44593
1.20915,1.16756,1.02456,0.860248,0.839855,2.36843
1.21057,1.15725,1.01768,0.854906,0.841329,2.29095
1.21198,1.14694,1.0108,0.849564,0.842802,2.21346
1.2134,1.13664,1.00392,0.844222,0.844276,2.13597
1.21481,1.12633,0.997041,0.83888,0.84575,2.05848
1.21622,1.11603,0.990161,0.833538,0.847223,1.98099
1.21764,1.10572,0.983281,0.828196,0.848697,1.9035
1.21905,1.09541,0.9764,0.822854,0.850171,1.82602
1.22047,1.08511,0.96952,0.817512,0.851644,1.74853
1.22188,1.0748,0.962639,0.81217,0.853118,1.67104
1.22329,1.06449,0.955759,0.806828,0.854591,1.59355
1.22471,1.05419,0.948879,0.801486,0.856065,1.51606
1.22612,1.04388,0.941999,0.796145,0.857539,1.43858
1.22754,1.03358,0.935118,0.790803,0.859012,1.36109
1.22895,1.02327,0.928238,0.785461,0.860486,1.2836
1.23037,1.01296,0.921357,0.780119,0.86196,1.20611
1.23178,1.00266,0.914477,0.774777,0.863433,1.12862
1.23319,0.992353,0.907597,0.769435,0.864907,1.05113
1.23461,0.982046,0.900716,0.764093,0.866381,0.973641
1.23602,0.97174,0.893836,0.758751,0.867854,0.896154
1.23744,0.961434,0.886955,0.753409,0.869328,0.818666
1.23885,0.951128,0.880075,0.748067,0.870801,0.741179
1.24027,0.940823,0.873195,0.742725,0.872275,0.663691
1.24168,0.930516,0.866314,0.737383,0.873749,0.586199
1.24309,0.92021,0.859434,0.732041,0.875222,0.508712
1.24451,0.909904,0.852553,0.726699,0.876696,0.431224
1.24592,0.899598,0.845673,0.721357,0.87817,0.353737
1.24734,0.889292,0.838792,0.716015,0.879643,0.276245
1.24875,0.878986,0.831912,0.710673,0.881117,0.198757
1.25016,0.86868,0.825032,0.705331,0.88259,0.12127
1.25158,0.858374,0.818152,0.699989,0.884064,0.0437824
1.25299,0.848068,0.811271,0.694647,0.885538,-0.0337051
1.25441,0.837761,0.80439,0.689305,0.887011,-0.111197
1.25582,0.827455,0.79751,0.683963,0.888485,-0.188685
1.25724,0.81715,0.79063,0.678621,0.889959,-0.266172
1.25865,0.806844,0.78375,0.67328,0.891432,-0.34366
1.26006,0.796538,0.776869,0.667938,0.892906,-0.421147
1.26148,0.786231,0.769989,0.662595,0.89438,-0.498639
1.26289,0.775925,0.763108,0.657254,0.895853,-0.576127
1.26431,0.765619,0.756228,0.651912,0.897327,-0.653614
1.26572,0.755313,0.749348,0.64657,0.8988,-0.731102
1.26714,0.745007,0.742467,0.641228,0.900274,-0.808594
1.26855,0.734701,0.735587,0.635886,0.901748,-0.886081
1.26996,0.724395,0.728706,0.630544,0.903221,-0.963569
1.27138,0.714089,0.721826,0.625202,0.904695,-1.04106
1.27279,0.703783,0.714946,0.61986,0.906169,-1.11854
1.27421,0.710525,0.715417,0.617454,0.908793,-1.03799
1.27562,0.717267,0.715889,0.615049,0.911418,-0.957436
1.27703,0.724009,0.71636,0.612644,0.914042,-0.876882
1.27845,0.73075,0.716832,0.610238,0.916666,-0.796329
1.27986,0.737492,0.717304,0.607833,0.919291,-0.715775
1.28128,0.744234,0.717775,0.605427,0.921916,-0.635217
1.28269,0.750976,0.718247,0.603022,0.92454,-0.554663
