"a","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.023684,1,0.19658,0.139,0.139,0
0.025686,1,0.19799,0.14,0.14,0
0.0238,1,0.1994,0.141,0.141,0
0.021913,1,0.20082,0.142,0.142,0
0.020027,1,0.20223,0.143,0.143,0
0.01814,1,0.20365,0.144,0.144,0
0.016254,1,0.20506,0.145,0.145,0
0.014367,1,0.20648,0.146,0.146,0
0.012481,1,0.20789,0.147,0.147,0
0.010594,1,0.2093,0.148,0.148,0
0.0087075,1,0.21072,0.149,0.149,0
0.006821,1,0.21213,0.15,0.15,0
0.0083804,1,0.21355,0.151,0.151,0
0.0099399,1,0.21496,0.152,0.152,0
0.011499,1,0.21637,0.153,0.153,0
0.013059,1,0.21779,0.154,0.154,0
0.014618,1,0.2192,0.155,0.155,0
0.016178,1,0.22062,0.156,0.156,0
0.017737,1,0.22203,0.157,0.157,0
0.019297,1,0.22345,0.158,0.158,0
0.020856,1,0.22486,0.159,0.159,0
0.022416,1,0.22627,0.16,0.16,0
0.021852,1,0.22769,0.161,0.161,0
0.021288,1,0.2291,0.162,0.162,0
0.020724,1,0.23052,0.163,0.163,0
0.02016,1,0.23193,0.164,0.164,0
0.019596,1,0.23335,0.165,0.165,0
0.019033,1,0.23476,0.166,0.166,0
0.018469,1,0.23617,0.167,0.167,0
0.017905,1,0.23759,0.168,0.168,0
0.017341,1,0.239,0.169,0.169,0
0.016777,1,0.24042,0.17,0.17,0
0.019226,1,0.24183,0.171,0.171,0
0.021674,1,0.24324,0.172,0.172,0
0.024123,1,0.24466,0.173,0.173,0
0.026572,1,0.24607,0.174,0.174,0
0.02902,1,0.24749,0.175,0.175,0
0.031469,1,0.2489,0.176,0.176,0
0.033917,1,0.25032,0.177,0.177,0
0.036366,1,0.25173,0.178,0.178,0
0.038814,1,0.25314,0.179,0.179,0
0.041263,1,0.25456,0.18,0.18,0
0.044204,1,0.25597,0.181,0.181,0
0.047144,1,0.25739,0.182,0.182,0
0.050085,1,0.2588,0.183,0.183,0
0.053026,1,0.26022,0.184,0.184,0
0.055966,1,0.26163,0.185,0.185,0
0.058907,1,0.26304,0.186,0.186,0
0.061848,1,0.26446,0.187,0.187,0
0.064788,1,0.26587,0.188,0.188,0
0.067729,1,0.26729,0.189,0.189,0
0.07067,1,0.2687,0.19,0.19,0
0.064431,1,0.27011,0.191,0.191,0
0.058192,1,0.27153,0.192,0.192,0
0.051952,1,0.27294,0.193,0.193,0
0.045713,1,0.27436,0.194,0.194,0
0.039474,1,0.27577,0.195,0.195,0
0.033235,1,0.27719,0.196,0.196,0
0.026996,1,0.2786,0.197,0.197,0
0.020757,1,0.28001,0.198,0.198,0
0.014518,1,0.28143,0.199,0.199,0
0.0082791,1,0.28284,0.2,0.2,0
0.0099992,1,0.28426,0.201,0.201,0
0.011719,1,0.28567,0.202,0.202,0
0.01344,1,0.28709,0.203,0.203,0
0.01516,1,0.2885,0.204,0.204,0
0.01688,1,0.28991,0.205,0.205,0
0.0186,1,0.29133,0.206,0.206,0
0.02032,1,0.29274,0.207,0.207,0
0.02204,1,0.29416,0.208,0.208,0
0.02376,1,0.29557,0.209,0.209,0
0.025481,1,0.29698,0.21,0.21,0
0.023281,1,0.2984,0.211,0.211,0
0.021082,1,0.29981,0.212,0.212,0
0.018883,1,0.30123,0.213,0.213,0
0.016683,1,0.30264,0.214,0.214,0
0.014484,1,0.30406,0.215,0.215,0
0.012284,1,0.30547,0.216,0.216,0
0.010085,1,0.30688,0.217,0.217,0
0.0078858,1,0.3083,0.218,0.218,0
0.0056864,1,0.30971,0.219,0.219,0
0.0034871,1,0.31113,0.22,0.22,0
0.013354,1,0.31254,0.221,0.221,0
0.023221,1,0.31396,0.222,0.222,0
0.033089,1,0.31537,0.223,0.223,0
0.042956,1,0.31678,0.224,0.224,0
0.052823,1,0.3182,0.225,0.225,0
0.06269,1,0.31961,0.226,0.226,0
0.072557,1,0.32103,0.227,0.227,0
0.082425,1,0.32244,0.228,0.228,0
0.092292,1,0.32385,0.229,0.229,0
0.10216,1,0.32527,0.23,0.23,0
0.09511,1,0.32668,0.231,0.231,0
0.08806,1,0.3281,0.232,0.232,0
0.081011,1,0.32951,0.233,0.233,0
0.073961,1,0.33093,0.234,0.234,0
0.066912,1,0.33234,0.235,0.235,0
0.059863,1,0.33375,0.236,0.236,0
0.052813,1,0.33517,0.237,0.237,0
0.045764,1,0.33658,0.238,0.238,0
0.038714,1,0.338,0.239,0.239,0
0.031665,1,0.33941,0.24,0.24,0
0.034972,1,0.34083,0.241,0.241,0
0.038278,1,0.34224,0.242,0.242,0
0.041585,1,0.34365,0.243,0.243,0
0.044892,1,0.34507,0.244,0.244,0
0.048199,1,0.34648,0.245,0.245,0
0.051505,1,0.3479,0.246,0.246,0
0.054812,1,0.34931,0.247,0.247,0
0.058119,1,0.35072,0.248,0.248,0
0.061426,1,0.35214,0.249,0.249,0
0.064732,1,0.35355,0.25,0.25,0
0.061123,1,0.35497,0.251,0.251,0
