t,coarse_assemble,helmholtz_assemble,coarse_solve,helmholtz_solve,ind_calc,ind_assemble,ind_solve 
0.001,0.371668100357,0.291455984116,3.13017892838,3.04806399345,1.62464189529,0.457885980606,3.58123707771
0.002,0.371668100357,0.291455984116,3.11426019669,3.06156396866,1.63712310791,0.458750963211,3.52994608879
0.003,0.371668100357,0.291455984116,3.12438583374,3.03802895546,1.66878795624,0.4607629776,3.53641796112
0.004,0.371668100357,0.291455984116,3.12536501884,3.12515807152,1.71291899681,0.468142986298,3.82092189789
0.005,0.371668100357,0.291455984116,3.43291902542,3.33636903763,1.74128317833,0.455006122589,3.86142897606
0.006,0.371668100357,0.291455984116,3.39354109764,3.32875418663,1.68322110176,0.457710027695,3.77874803543
0.007,0.371668100357,0.291455984116,3.38456916809,3.33672189713,1.69825983047,0.462204933167,3.80992412567
0.008,0.371668100357,0.291455984116,3.40285181999,3.30779790878,1.7023499012,0.455684900284,3.78188109398
0.009,0.371668100357,0.291455984116,3.40859603882,3.35257601738,1.68300390244,0.466253995895,3.80591988564
0.01,0.371668100357,0.291455984116,3.37987804413,3.32313799858,1.69181489944,0.454084157944,3.84718608856
0.011,0.371668100357,0.291455984116,3.39222002029,3.32179379463,1.69895982742,0.460465908051,3.77930498123
0.012,0.371668100357,0.291455984116,3.35482597351,3.3011610508,1.70811414719,0.466459989548,3.72235298157
0.013,0.371668100357,0.291455984116,3.36251616478,3.28961420059,1.7062599659,0.455962896347,3.75009202957
0.014,0.371668100357,0.291455984116,3.36924505234,3.29551196098,1.70180797577,0.459938049316,3.76002001762
0.015,0.371668100357,0.291455984116,3.36445403099,3.31694698334,1.69955301285,0.459437847137,3.74009013176
0.016,0.371668100357,0.291455984116,3.36855792999,3.28511095047,1.71530389786,0.457851886749,3.75809407234
0.017,0.371668100357,0.291455984116,3.3904979229,3.29801392555,1.71199584007,0.460388898849,3.73800897598
0.018,0.371668100357,0.291455984116,3.36017894745,3.29913806915,1.69048786163,0.459580898285,3.7897298336
0.019,0.371668100357,0.291455984116,3.37246799469,3.30311918259,1.70141100883,0.466197013855,3.73258495331
0.02,0.371668100357,0.291455984116,3.37077403069,3.29895806313,1.70748400688,0.461642026901,3.75345087051
0.021,0.371668100357,0.291455984116,3.3920211792,3.28465414047,1.738530159,0.469334125519,3.73013997078
