t,coarse_assemble,helmholtz_assemble,coarse_solve,helmholtz_solve,ind_calc,ind_assemble,ind_solve ,Helmholtz w/CG,,
0.001,0.352957963943,0.287482023239,3.02430891991,0.272353172302,1.6590590477,0.452873945236,3.46508693695,,,
0.002,0.352957963943,0.287482023239,3.0527510643,0.279080152512,1.64807105064,0.461408138275,3.49392199516,,,
0.003,0.352957963943,0.287482023239,3.06246304512,0.270570039749,1.66205406189,0.450074195862,3.50801515579,,,
0.004,0.352957963943,0.287482023239,3.06171298027,0.271202087402,1.66343212128,0.451610088348,3.46519112587,,,
0.005,0.352957963943,0.287482023239,3.06722998619,0.270346164703,1.65545010567,0.452613115311,3.94009208679,,,
0.006,0.352957963943,0.287482023239,4.59430098534,0.424137115479,2.05197787285,0.449959039688,3.91671586037,,,
0.007,0.352957963943,0.287482023239,3.29200577736,0.305436849594,1.71703600883,0.453402042389,3.71149778366,,,
0.008,0.352957963943,0.287482023239,3.30443501472,0.304297924042,1.72001004219,0.452479124069,3.72916412354,,,
0.009,0.352957963943,0.287482023239,3.38371300697,0.305853128433,1.71726512909,0.450155973434,3.75409698486,,,
0.01,0.352957963943,0.287482023239,3.26648402214,0.305890798569,1.72113800049,0.450326919556,3.70139193535,,,
t,coarse_assemble,helmholtz_assemble,coarse_solve,helmholtz_solve,ind_calc,ind_assemble,ind_solve ,Control,,
0.001,0.359407901764,0.280604124069,3.05616211891,3.34230709076,1.64762687683,0.447596788406,3.47342801094,,,
0.002,0.359407901764,0.280604124069,3.09692907333,3.04936599731,1.62500810623,0.447714090347,3.4756000042,,,
0.003,0.359407901764,0.280604124069,3.11276817322,2.9890499115,1.62688493729,0.445803880692,3.48397994041,,,
0.004,0.359407901764,0.280604124069,3.10030198097,3.25118780136,1.6742939949,0.445678949356,3.94003605843,,,
0.005,0.359407901764,0.280604124069,4.05159211159,3.62871694565,1.78281998634,0.516075134277,3.95496797562,,,
0.006,0.359407901764,0.280604124069,4.48333001137,3.27292490005,1.71997785568,0.460891008377,4.04916214943,,,
0.007,0.359407901764,0.280604124069,3.70324206352,3.38992810249,1.68313694,0.450502872467,3.73575496674,,,
0.008,0.359407901764,0.280604124069,3.89643502235,4.367166996,1.75813007355,0.472044944763,4.98708987236,,,
0.009,0.359407901764,0.280604124069,4.8773150444,3.48149490356,1.68189907074,0.449374198914,3.69908499718,,,
0.01,0.359407901764,0.280604124069,3.26346206665,3.25560593605,1.67481303215,0.448276996613,3.73825311661,,,
