SUPG
t,assemble,solve 
0.002,2.28376793861,3.27679300308
0.003,2.28376793861,0.0757489204407
0.004,2.28376793861,0.0746848583221
0.005,2.28376793861,0.0750868320465
0.006,2.28376793861,0.0752279758453
0.007,2.28376793861,0.0760579109192
0.008,2.28376793861,0.0751430988312
0.009,2.28376793861,0.0761730670929
0.01,2.28376793861,0.0759260654449
0.011,2.28376793861,0.078006029129
GLS
t,assemble,solve 
0.002,3.22687911987,3.19182014465
0.003,3.22687911987,0.0779030323029
0.004,3.22687911987,0.078222990036
0.005,3.22687911987,0.0768818855286
0.006,3.22687911987,0.0844080448151
0.007,3.22687911987,0.0775020122528
0.008,3.22687911987,0.0764820575714
0.009,3.22687911987,0.0761580467224
0.01,3.22687911987,0.0778450965881
0.011,3.22687911987,0.0794370174408
DW
t,assemble,solve 
0.002,3.29995799065,9.65459418297
0.003,3.29995799065,0.168609142303
0.004,3.29995799065,0.183241128922
0.005,3.29995799065,0.188959121704
0.006,3.29995799065,0.175546884537
0.007,3.29995799065,0.176864147186
0.008,3.29995799065,0.166376113892
0.009,3.29995799065,0.165647983551
0.01,3.29995799065,0.174926042557
0.011,3.29995799065,0.166661977768
VMS
t,assemble,solve 
0.002,3.18465518951,6.05526399612
0.003,3.18465518951,0.124928951263
0.004,3.18465518951,0.124401092529
0.005,3.18465518951,0.135102033615
0.006,3.18465518951,0.125376939774
0.007,3.18465518951,0.123948097229
0.008,3.18465518951,0.133635997772
0.009,3.18465518951,0.125362873077
0.01,3.18465518951,0.123851060867
0.011,3.18465518951,0.124235868454
Galerk
t,assemble,solve 
0.002,0.555443048477,6.71532702446
0.003,0.555443048477,0.0927078723907
0.004,0.555443048477,0.0896339416504
0.005,0.555443048477,0.0893168449402
0.006,0.555443048477,0.0896861553192
0.007,0.555443048477,0.0917420387268
0.008,0.555443048477,0.0902860164642
0.009,0.555443048477,0.0944199562073
0.01,0.555443048477,0.0957279205322
0.011,0.555443048477,0.0980648994446
SUPG
t,assemble,solve 
0.001,2.45891618729,3.86865782738
0.002,2.45891618729,0.0881431102753
0.003,2.45891618729,0.0925369262695
0.004,2.45891618729,0.0876879692078
0.005,2.45891618729,0.0885870456696
0.006,2.45891618729,0.0886800289154
0.007,2.45891618729,0.086895942688
0.008,2.45891618729,0.0868198871613
0.009,2.45891618729,0.0948421955109
0.01,2.45891618729,0.0876870155334
SUPG
t,assemble,solve 
0.001,2.24248600006,3.28605890274
0.002,2.24248600006,0.0799288749695
0.003,2.24248600006,0.0795240402222
0.004,2.24248600006,0.0798630714417
0.005,2.24248600006,0.0799059867859
0.006,2.24248600006,0.087858915329
0.007,2.24248600006,0.0809369087219
0.008,2.24248600006,0.0798900127411
0.009,2.24248600006,0.0801739692688
0.01,2.24248600006,0.0793440341949
SUPG
t,assemble,solve 
0.001,2.24227404594,3.23766994476
0.002,2.24227404594,0.0801589488983
0.003,2.24227404594,0.0808930397034
0.004,2.24227404594,0.0806639194489
0.005,2.24227404594,0.0801911354065
