EFR N = 0, t = 0.0

Level 1, nx = 50
H10 seminorm,0.08684911130777452
L2 norm,0.0018537878557726168

Level 2, nx = 100
H10 seminorm,0.630609525873584
L2 norm,0.005929910787366222

Level 3, nx = 200
H10 seminorm,3.703236709109281
L2 norm,0.015058869972139097

Level 4, nx = 400
H10 seminorm,20.219859714919824
L2 norm,0.02882730398980425

Level 5, nx = 800
H10 seminorm,43.263243295381415
L2 norm,0.49974967398944675
