"arc_length","Exact","N=0","N=1","N=2","N=3","No Filter"
1.25865,0.862536,0.892789,0.89165,0.890578,0.889924,0.914911
1.27279,0.872316,0.808243,0.810955,0.813336,0.815637,0.733767
1.28693,0.882097,0.929153,0.926267,0.923785,0.922269,1.00813
1.30108,0.891881,0.871567,0.871999,0.872332,0.873334,0.806705
1.31522,0.901678,0.888378,0.888886,0.887916,0.887959,0.893732
1.32936,0.911524,0.9666,0.963917,0.958709,0.955166,1.10865
1.3435,0.921481,0.827367,0.830334,0.832122,0.833875,0.366097
1.35765,0.932235,0.967939,0.968688,0.961526,0.955569,1.44936
1.37179,0.944869,0.838256,0.849608,0.854788,0.858193,0.627159
1.38593,0.946123,0.685543,0.704045,0.718314,0.729009,0.804036
1.40007,0.750448,0.49704,0.511495,0.522152,0.530425,1.72988
1.41421,0,0,0,0,0,0
