"arc_length","N=2","N=0","N=3","N=1"
0,0,0,0,0
0.0141421,0.0023981,0.00287853,0.00228582,0.00256879
0.0282843,0.0047962,0.00575706,0.00457164,0.00513758
0.0424264,0.00547451,0.00729052,0.00506784,0.00610721
0.0565685,0.00443303,0.0074789,0.00377441,0.0054777
0.0707107,0.00339156,0.00766729,0.00248099,0.00484818
0.0848528,0.0037284,0.00850628,0.00287196,0.005235
0.0989949,0.00406525,0.00934527,0.00326294,0.00562182
0.113137,0.00363365,0.00933295,0.00286701,0.00522354
0.127279,0.00243358,0.00846931,0.00168417,0.00404014
0.141421,0.00123352,0.00760568,0.000501336,0.00285675
0.155563,0.00227884,0.00854396,0.00165143,0.00377005
0.169706,0.00332417,0.00948224,0.00280152,0.00468335
0.183848,0.0030957,0.00928495,0.00280408,0.00440557
0.19799,0.00159345,0.00795209,0.00165912,0.0029367
0.212132,9.11915e-05,0.00661923,0.000514158,0.00146784
0.226274,0.00177399,0.00805077,0.00188205,0.00301568
0.240416,0.00345678,0.00948232,0.00324995,0.00456353
0.254558,0.00366122,0.00923752,0.0034958,0.00430657
0.268701,0.00238729,0.00731638,0.00261961,0.00224482
0.282843,0.00111337,0.00539524,0.00174342,0.000183073
0.296985,0.00275127,0.00756717,0.00301233,0.00254689
0.311127,0.00438918,0.0097391,0.00428124,0.00491071
0.325269,0.00470561,0.00943281,0.00460898,0.00515014
0.339411,0.00370056,0.0066483,0.00399557,0.0032652
0.353553,0.00269551,0.00386379,0.00338216,0.00138026
0.367696,0.00428938,0.00710497,0.00462576,0.00379585
0.381838,0.00588325,0.0103462,0.00586936,0.00621144
0.39598,0.00631681,0.00994175,0.0063194,0.00662989
0.410122,0.00559007,0.00589177,0.00597587,0.00505123
0.424264,0.00486333,0.00184179,0.00563234,0.00347257
0.438406,0.00649162,0.00662706,0.00693581,0.00588119
0.452548,0.00811992,0.0114123,0.00823927,0.0082898
0.46669,0.00872715,0.011229,0.00887192,0.00887032
0.480833,0.00831331,0.00607712,0.00883377,0.00762272
0.494975,0.00789948,0.000925222,0.00879561,0.00637513
0.509117,0.00965837,0.00720284,0.0102594,0.00887217
0.523259,0.0114173,0.0134805,0.0117232,0.0113692
0.537401,0.0122802,0.014255,0.0126253,0.0121897
0.551543,0.0122472,0.00952642,0.0129658,0.0113336
0.565685,0.0122143,0.00479785,0.0133062,0.0104776
0.579828,0.0142246,0.0112061,0.0150551,0.0131795
0.59397,0.0162349,0.0176143,0.0168039,0.0158814
0.608112,0.0174656,0.018708,0.0180935,0.0170476
0.622254,0.0179166,0.0144871,0.0189239,0.0166781
0.636396,0.0183677,0.0102662,0.0197543,0.0163086
0.650538,0.0207821,0.0169433,0.0219448,0.0193606
0.66468,0.0231965,0.0236203,0.0241352,0.0224126
0.678823,0.0249494,0.0251686,0.0259753,0.0240708
0.692965,0.0260409,0.0215881,0.0274649,0.0243352
0.707107,0.0271324,0.0180075,0.0289545,0.0245995
0.721249,0.0301835,0.0251586,0.0318244,0.0282188
0.735391,0.0332346,0.0323097,0.0346942,0.031838
0.749533,0.0357602,0.0345312,0.03735,0.0342253
0.763675,0.0377602,0.031823,0.0397918,0.0353805
0.777817,0.0397602,0.0291148,0.0422336,0.0365358
0.79196,0.0438015,0.0370436,0.0461399,0.0410425
0.806102,0.0478429,0.0449724,0.0500462,0.0455492
0.820244,0.0514801,0.0481643,0.0538786,0.04899
0.834386,0.054713,0.0466194,0.0576371,0.0513649
0.848528,0.0579459,0.0450746,0.0613955,0.0537398
0.86267,0.0633328,0.0540773,0.0666765,0.0594262
0.876812,0.0687198,0.06308,0.0719575,0.0651125
0.890955,0.073785,0.0675291,0.0773017,0.0699254
0.905097,0.0785285,0.0674246,0.0827092,0.073865
0.919239,0.0832721,0.0673201,0.0881166,0.0778045
0.933381,0.0906115,0.077888,0.0953562,0.085104
0.947523,0.0979508,0.0884558,0.102596,0.0924036
0.961665,0.105197,0.0948218,0.11024,0.0993462
0.975807,0.112351,0.0969861,0.118288,0.105932
0.989949,0.119505,0.0991503,0.126337,0.112517
1.00409,0.130541,0.112741,0.137397,0.122667
1.01823,0.141577,0.126331,0.148458,0.132817
1.03238,0.152665,0.135985,0.160094,0.143545
1.04652,0.163807,0.141704,0.172304,0.154851
1.06066,0.174949,0.147422,0.184514,0.166156
1.0748,0.190381,0.165005,0.200596,0.178947
1.08894,0.205813,0.182589,0.216679,0.191738
1.10309,0.220624,0.195093,0.231873,0.206279
1.11723,0.234815,0.202517,0.246178,0.222568
1.13137,0.249007,0.209942,0.260483,0.238858
