"arc_length","N=3","N=2","N=1","N=0"
0,0,0,0,0
0.0141421,0.0278528,0.0275209,0.0272156,0.0270066
0.0282843,0.0557056,0.0550418,0.0544313,0.0540132
0.0424264,0.0835584,0.0825628,0.0816469,0.0810199
0.0565685,0.111411,0.110084,0.108863,0.108026
0.0707107,0.139264,0.137605,0.136078,0.135033
0.0848528,0.132322,0.129264,0.125565,0.120734
0.0989949,0.125379,0.120922,0.115053,0.106435
0.113137,0.118437,0.112581,0.10454,0.0921366
0.127279,0.111495,0.10424,0.0940273,0.0778377
0.141421,0.104552,0.0958993,0.0835146,0.0635388
0.155563,0.112126,0.104151,0.0937079,0.078856
0.169706,0.1197,0.112403,0.103901,0.0941731
0.183848,0.127274,0.120655,0.114094,0.10949
0.19799,0.134849,0.128907,0.124288,0.124807
0.212132,0.142423,0.137159,0.134481,0.140124
0.226274,0.146527,0.14106,0.136928,0.136954
0.240416,0.150631,0.144961,0.139375,0.133784
0.254558,0.154735,0.148862,0.141822,0.130614
0.268701,0.158839,0.152763,0.144268,0.127445
0.282843,0.162943,0.156664,0.146715,0.124275
0.296985,0.168762,0.161797,0.151913,0.133682
0.311127,0.174581,0.166931,0.157111,0.14309
0.325269,0.1804,0.172065,0.162309,0.152498
0.339411,0.186219,0.177199,0.167506,0.161906
0.353553,0.192038,0.182333,0.172704,0.171314
0.367696,0.196331,0.186874,0.177146,0.171738
0.381838,0.200624,0.191415,0.181587,0.172162
0.39598,0.204917,0.195956,0.186028,0.172586
0.410122,0.209209,0.200497,0.19047,0.173009
0.424264,0.213502,0.205038,0.194911,0.173433
0.438406,0.218022,0.209122,0.198491,0.179903
0.452548,0.222543,0.213207,0.202071,0.186372
0.46669,0.227063,0.217291,0.205651,0.192842
0.480833,0.231583,0.221376,0.209231,0.199311
0.494975,0.236104,0.22546,0.212811,0.205781
0.509117,0.240479,0.229755,0.217273,0.207237
0.523259,0.244854,0.234049,0.221735,0.208694
0.537401,0.24923,0.238344,0.226196,0.21015
0.551543,0.253605,0.242638,0.230658,0.211606
0.565685,0.25798,0.246933,0.23512,0.213063
0.579828,0.26466,0.253373,0.240808,0.220944
0.59397,0.271339,0.259813,0.246496,0.228825
0.608112,0.278019,0.266253,0.252184,0.236706
0.622254,0.284698,0.272694,0.257872,0.244588
0.636396,0.291377,0.279134,0.26356,0.252469
0.650538,0.300892,0.2881,0.272572,0.258221
0.66468,0.310407,0.297066,0.281584,0.263973
0.678823,0.319922,0.306032,0.290596,0.269726
0.692965,0.329436,0.314998,0.299608,0.275478
0.707107,0.338951,0.323964,0.30862,0.28123
0.721249,0.350264,0.334732,0.317935,0.292806
0.735391,0.361577,0.3455,0.32725,0.304382
0.749533,0.372889,0.356269,0.336565,0.315957
0.763675,0.384202,0.367037,0.34588,0.327533
0.777817,0.395515,0.377805,0.355195,0.339109
0.79196,0.404247,0.386402,0.364583,0.344189
0.806102,0.41298,0.395,0.373972,0.349269
0.820244,0.421712,0.403597,0.38336,0.354349
0.834386,0.430444,0.412195,0.392749,0.359429
0.848528,0.439177,0.420792,0.402137,0.364509
0.86267,0.444348,0.424997,0.404434,0.371814
0.876812,0.449519,0.429202,0.406731,0.37912
0.890955,0.45469,0.433407,0.409028,0.386425
0.905097,0.459861,0.437612,0.411325,0.39373
0.919239,0.465032,0.441817,0.413621,0.401036
0.933381,0.467579,0.446152,0.419992,0.39947
0.947523,0.470125,0.450488,0.426363,0.397904
0.961665,0.472672,0.454824,0.432733,0.396339
0.975807,0.475218,0.45916,0.439104,0.394773
0.989949,0.477764,0.463495,0.445474,0.393208
1.00409,0.48651,0.469218,0.449359,0.408896
1.01823,0.495255,0.474941,0.453244,0.424585
1.03238,0.504,0.480664,0.457129,0.440274
1.04652,0.512746,0.486386,0.461014,0.455963
1.06066,0.521491,0.492109,0.464899,0.471652
1.0748,0.552058,0.523921,0.493872,0.479752
1.08894,0.582624,0.555732,0.522845,0.487852
1.10309,0.613191,0.587544,0.551819,0.495952
1.11723,0.643758,0.619356,0.580792,0.504052
1.13137,0.674325,0.651167,0.609765,0.512152
1.14551,0.697923,0.673439,0.637622,0.565442
1.15966,0.721521,0.69571,0.665478,0.618732
1.1738,0.74512,0.717981,0.693335,0.672022
1.18794,0.768718,0.740252,0.721191,0.725311
1.20208,0.792317,0.762523,0.749048,0.778602
1.21622,0.833594,0.793048,0.760352,0.752747
1.23037,0.874871,0.823572,0.771655,0.726892
1.24451,0.916148,0.854097,0.782959,0.701037
1.25865,0.957425,0.884621,0.794262,0.675182
1.27279,0.998702,0.915146,0.805566,0.649327
1.28693,0.998962,0.932117,0.844453,0.719462
1.30108,0.999221,0.949088,0.88334,0.789596
1.31522,0.999481,0.966058,0.922226,0.859731
1.32936,0.99974,0.983029,0.961113,0.929865
1.3435,1,1,1,1
1.35765,0.8,0.8,0.8,0.8
1.37179,0.599999,0.599999,0.599999,0.599999
1.38593,0.4,0.4,0.4,0.4
1.40007,0.2,0.2,0.2,0.2
1.41421,-6.52432e-33,0,0,0
