"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000689969,0.000690189,0.000690335,0.000690429,0.00073463,0.000690803
0.00282843,0.00137994,0.00138038,0.00138067,0.00138086,0.00146926,0.00138161
0.00424264,0.00206991,0.00207057,0.002071,0.00207129,0.00220389,0.00207241
0.00565685,0.00275987,0.00276076,0.00276134,0.00276171,0.00293852,0.00276321
0.00707107,0.00344984,0.00345095,0.00345167,0.00345214,0.00367315,0.00345401
0.00848528,0.00428287,0.00428435,0.00428526,0.00428582,0.00450369,0.00428775
0.0098995,0.0051159,0.00511775,0.00511884,0.0051195,0.00533424,0.0051215
0.0113137,0.00594893,0.00595115,0.00595242,0.00595319,0.00616479,0.00595524
0.0127279,0.00678195,0.00678454,0.006786,0.00678687,0.00699534,0.00678898
0.0141421,0.00761498,0.00761794,0.00761958,0.00762055,0.00782589,0.00762272
0.0155563,0.00849481,0.00849776,0.00849927,0.00850014,0.0086996,0.0085019
0.0169706,0.00937463,0.00937757,0.00937896,0.00937974,0.00957332,0.00938108
0.0183848,0.0102545,0.0102574,0.0102586,0.0102593,0.010447,0.0102603
0.019799,0.0111343,0.0111372,0.0111383,0.0111389,0.0113207,0.0111394
0.0212132,0.0120141,0.012017,0.012018,0.0120185,0.0121945,0.0120186
0.0226274,0.0129147,0.0129176,0.0129185,0.012919,0.013091,0.0129191
0.0240416,0.0138152,0.0138181,0.013819,0.0138194,0.0139875,0.0138196
0.0254558,0.0147158,0.0147187,0.0147195,0.0147199,0.014884,0.01472
0.0268701,0.0156164,0.0156192,0.01562,0.0156203,0.0157806,0.0156205
0.0282843,0.0165169,0.0165198,0.0165205,0.0165208,0.0166771,0.016521
0.0296985,0.0174303,0.0174331,0.0174338,0.017434,0.0175875,0.0174342
0.0311127,0.0183437,0.0183464,0.018347,0.0183473,0.0184979,0.0183474
0.0325269,0.0192571,0.0192597,0.0192603,0.0192605,0.0194083,0.0192607
0.0339411,0.0201705,0.020173,0.0201736,0.0201737,0.0203188,0.0201739
0.0353553,0.0210839,0.0210863,0.0210868,0.021087,0.0212292,0.0210871
0.0367696,0.0220059,0.0220084,0.0220088,0.0220089,0.0221491,0.0220091
0.0381838,0.022928,0.0229304,0.0229308,0.0229309,0.0230689,0.0229311
0.039598,0.0238501,0.0238524,0.0238528,0.0238529,0.0239888,0.023853
0.0410122,0.0247722,0.0247744,0.0247748,0.0247749,0.0249087,0.024775
0.0424264,0.0256942,0.0256964,0.0256968,0.0256969,0.0258285,0.025697
0.0438406,0.0266228,0.0266249,0.0266253,0.0266254,0.0267553,0.0266255
0.0452548,0.0275513,0.0275534,0.0275538,0.0275539,0.0276821,0.027554
0.046669,0.0284799,0.0284819,0.0284823,0.0284823,0.0286089,0.0284824
0.0480833,0.0294084,0.0294104,0.0294107,0.0294108,0.0295357,0.0294109
0.0494975,0.030337,0.0303389,0.0303392,0.0303393,0.0304625,0.0303394
0.0509117,0.0312706,0.0312725,0.0312728,0.0312729,0.0313947,0.0312729
0.0523259,0.0322042,0.0322061,0.0322063,0.0322064,0.0323269,0.0322065
0.0537401,0.0331378,0.0331396,0.0331399,0.03314,0.033259,0.03314
0.0551543,0.0340714,0.0340732,0.0340734,0.0340735,0.0341912,0.0340736
0.0565685,0.035005,0.0350068,0.035007,0.0350071,0.0351234,0.0350071
0.0579828,0.0359427,0.0359444,0.0359447,0.0359447,0.0360599,0.0359448
0.059397,0.0368804,0.0368821,0.0368823,0.0368824,0.0369963,0.0368824
0.0608112,0.0378181,0.0378197,0.03782,0.03782,0.0379328,0.0378201
0.0622254,0.0387558,0.0387574,0.0387576,0.0387577,0.0388693,0.0387577
0.0636396,0.0396934,0.0396951,0.0396953,0.0396953,0.0398058,0.0396954
0.0650538,0.0406345,0.0406361,0.0406363,0.0406364,0.0407459,0.0406364
0.066468,0.0415756,0.0415772,0.0415774,0.0415774,0.0416859,0.0415775
0.0678823,0.0425167,0.0425182,0.0425184,0.0425185,0.042626,0.0425185
0.0692965,0.0434578,0.0434593,0.0434595,0.0434595,0.043566,0.0434596
0.0707107,0.0443989,0.0444004,0.0444005,0.0444006,0.0445061,0.0444006
0.0721249,0.0453428,0.0453443,0.0453445,0.0453445,0.0454491,0.0453445
0.0735391,0.0462868,0.0462882,0.0462884,0.0462885,0.0463922,0.0462885
0.0749533,0.0472308,0.0472322,0.0472323,0.0472324,0.0473352,0.0472324
0.0763675,0.0481747,0.0481761,0.0481763,0.0481763,0.0482783,0.0481764
0.0777817,0.0491187,0.0491201,0.0491202,0.0491203,0.0492213,0.0491203
0.079196,0.0500651,0.0500665,0.0500666,0.0500667,0.050167,0.0500667
0.0806102,0.0510116,0.0510129,0.0510131,0.0510131,0.0511126,0.0510131
0.0820244,0.051958,0.0519593,0.0519595,0.0519595,0.0520583,0.0519595
0.0834386,0.0529044,0.0529057,0.0529059,0.0529059,0.0530039,0.0529059
0.0848528,0.0538509,0.0538522,0.0538523,0.0538523,0.0539496,0.0538524
0.086267,0.0547995,0.0548007,0.0548009,0.0548009,0.0548974,0.0548009
0.0876812,0.0557481,0.0557493,0.0557495,0.0557495,0.0558453,0.0557495
0.0890955,0.0566967,0.0566979,0.056698,0.0566981,0.0567932,0.0566981
0.0905097,0.0576453,0.0576465,0.0576466,0.0576467,0.0577411,0.0576467
0.0919239,0.0585939,0.0585951,0.0585952,0.0585952,0.058689,0.0585952
0.0933381,0.0595444,0.0595456,0.0595457,0.0595457,0.0596389,0.0595457
0.0947523,0.0604949,0.0604961,0.0604962,0.0604962,0.0605887,0.0604962
0.0961665,0.0614454,0.0614466,0.0614467,0.0614467,0.0615386,0.0614467
0.0975807,0.0623959,0.062397,0.0623972,0.0623972,0.0624885,0.0623972
0.0989949,0.0633464,0.0633475,0.0633476,0.0633477,0.0634383,0.0633477
0.100409,0.0642986,0.0642997,0.0642998,0.0642999,0.06439,0.0642999
0.101823,0.0652508,0.0652519,0.065252,0.065252,0.0653416,0.0652521
0.103238,0.066203,0.0662041,0.0662042,0.0662042,0.0662932,0.0662042
0.104652,0.0671552,0.0671563,0.0671564,0.0671564,0.0672448,0.0671564
0.106066,0.0681074,0.0681085,0.0681086,0.0681086,0.0681965,0.0681086
0.10748,0.0690612,0.0690622,0.0690623,0.0690623,0.0691497,0.0690623
0.108894,0.0700149,0.0700159,0.070016,0.070016,0.0701029,0.070016
0.110309,0.0709686,0.0709696,0.0709697,0.0709697,0.0710561,0.0709698
0.111723,0.0719223,0.0719233,0.0719234,0.0719235,0.0720093,0.0719235
0.113137,0.072876,0.072877,0.0728771,0.0728772,0.0729624,0.0728772
0.114551,0.0738312,0.0738321,0.0738322,0.0738322,0.0739171,0.0738323
0.115966,0.0747863,0.0747872,0.0747873,0.0747873,0.0748717,0.0747873
0.11738,0.0757413,0.0757423,0.0757424,0.0757424,0.0758263,0.0757424
0.118794,0.0766964,0.0766974,0.0766975,0.0766975,0.0767809,0.0766975
0.120208,0.0776515,0.0776525,0.0776526,0.0776526,0.0777355,0.0776526
0.121622,0.0786079,0.0786088,0.0786089,0.0786089,0.0786914,0.0786089
0.123037,0.0795642,0.0795652,0.0795653,0.0795653,0.0796473,0.0795653
0.124451,0.0805206,0.0805215,0.0805216,0.0805216,0.0806032,0.0805216
0.125865,0.0814769,0.0814778,0.0814779,0.0814779,0.0815591,0.081478
0.127279,0.0824333,0.0824342,0.0824343,0.0824343,0.0825151,0.0824343
0.128693,0.0833908,0.0833917,0.0833917,0.0833918,0.0834721,0.0833918
0.130108,0.0843483,0.0843492,0.0843492,0.0843492,0.0844292,0.0843493
0.131522,0.0853058,0.0853066,0.0853067,0.0853067,0.0853863,0.0853067
0.132936,0.0862632,0.0862641,0.0862642,0.0862642,0.0863434,0.0862642
0.13435,0.0872207,0.0872216,0.0872217,0.0872217,0.0873004,0.0872217
0.135765,0.0881793,0.0881801,0.0881802,0.0881802,0.0882586,0.0881802
0.137179,0.0891378,0.0891387,0.0891387,0.0891387,0.0892168,0.0891388
0.138593,0.0900964,0.0900972,0.0900973,0.0900973,0.0901749,0.0900973
0.140007,0.0910549,0.0910557,0.0910558,0.0910558,0.0911331,0.0910558
0.141421,0.0920134,0.0920142,0.0920143,0.0920143,0.0920912,0.0920143
0.142836,0.0929729,0.0929737,0.0929738,0.0929738,0.0930504,0.0929738
0.14425,0.0939324,0.0939332,0.0939333,0.0939333,0.0940095,0.0939333
0.145664,0.0948919,0.0948927,0.0948928,0.0948928,0.0949687,0.0948928
0.147078,0.0958514,0.0958522,0.0958523,0.0958523,0.0959278,0.0958523
0.148492,0.0968109,0.0968117,0.0968118,0.0968118,0.096887,0.0968118
0.149907,0.0977713,0.0977721,0.0977722,0.0977722,0.097847,0.0977722
0.151321,0.0987317,0.0987325,0.0987326,0.0987326,0.0988071,0.0987326
0.152735,0.0996921,0.0996929,0.099693,0.099693,0.0997672,0.099693
0.154149,0.100653,0.100653,0.100653,0.100653,0.100727,0.100653
0.155563,0.101613,0.101614,0.101614,0.101614,0.101687,0.101614
0.156978,0.102574,0.102575,0.102575,0.102575,0.102648,0.102575
0.158392,0.103535,0.103536,0.103536,0.103536,0.103609,0.103536
0.159806,0.104497,0.104497,0.104497,0.104497,0.10457,0.104497
0.16122,0.105458,0.105459,0.105459,0.105459,0.105531,0.105459
0.162635,0.106419,0.10642,0.10642,0.10642,0.106492,0.10642
0.164049,0.107381,0.107382,0.107382,0.107382,0.107454,0.107382
0.165463,0.108343,0.108344,0.108344,0.108344,0.108415,0.108344
0.166877,0.109305,0.109306,0.109306,0.109306,0.109377,0.109306
0.168291,0.110267,0.110268,0.110268,0.110268,0.110339,0.110268
0.169706,0.111229,0.11123,0.11123,0.11123,0.1113,0.11123
0.17112,0.112192,0.112192,0.112193,0.112193,0.112263,0.112193
0.172534,0.113154,0.113155,0.113155,0.113155,0.113225,0.113155
0.173948,0.114117,0.114118,0.114118,0.114118,0.114188,0.114118
0.175362,0.11508,0.115081,0.115081,0.115081,0.11515,0.115081
0.176777,0.116043,0.116043,0.116043,0.116043,0.116113,0.116043
0.178191,0.117006,0.117007,0.117007,0.117007,0.117076,0.117007
0.179605,0.117969,0.11797,0.11797,0.11797,0.118039,0.11797
0.181019,0.118933,0.118933,0.118934,0.118934,0.119002,0.118934
0.182434,0.119896,0.119897,0.119897,0.119897,0.119965,0.119897
0.183848,0.12086,0.12086,0.12086,0.12086,0.120928,0.12086
0.185262,0.121824,0.121824,0.121824,0.121824,0.121892,0.121824
0.186676,0.122788,0.122788,0.122788,0.122788,0.122856,0.122788
0.18809,0.123752,0.123752,0.123752,0.123752,0.12382,0.123752
0.189505,0.124716,0.124716,0.124716,0.124716,0.124783,0.124716
0.190919,0.12568,0.12568,0.12568,0.12568,0.125747,0.12568
0.192333,0.126644,0.126645,0.126645,0.126645,0.126712,0.126645
0.193747,0.127609,0.12761,0.12761,0.12761,0.127676,0.12761
0.195161,0.128574,0.128574,0.128574,0.128574,0.12864,0.128574
0.196576,0.129538,0.129539,0.129539,0.129539,0.129605,0.129539
0.19799,0.130503,0.130503,0.130503,0.130504,0.130569,0.130504
0.199404,0.131468,0.131469,0.131469,0.131469,0.131534,0.131469
0.200818,0.132433,0.132434,0.132434,0.132434,0.132499,0.132434
0.202233,0.133398,0.133399,0.133399,0.133399,0.133464,0.133399
0.203647,0.134364,0.134364,0.134364,0.134364,0.134429,0.134364
0.205061,0.135329,0.135329,0.135329,0.135329,0.135394,0.135329
0.206475,0.136294,0.136295,0.136295,0.136295,0.136359,0.136295
0.207889,0.13726,0.137261,0.137261,0.137261,0.137325,0.137261
0.209304,0.138226,0.138226,0.138227,0.138227,0.13829,0.138227
0.210718,0.139192,0.139192,0.139192,0.139192,0.139256,0.139192
0.212132,0.140157,0.140158,0.140158,0.140158,0.140221,0.140158
0.213546,0.141124,0.141124,0.141124,0.141124,0.141187,0.141124
0.21496,0.14209,0.14209,0.14209,0.14209,0.142153,0.14209
0.216375,0.143056,0.143057,0.143057,0.143057,0.143119,0.143057
0.217789,0.144022,0.144023,0.144023,0.144023,0.144085,0.144023
0.219203,0.144988,0.144989,0.144989,0.144989,0.145051,0.144989
0.220617,0.145955,0.145956,0.145956,0.145956,0.146018,0.145956
0.222032,0.146922,0.146922,0.146922,0.146922,0.146984,0.146922
0.223446,0.147888,0.147889,0.147889,0.147889,0.147951,0.147889
0.22486,0.148855,0.148856,0.148856,0.148856,0.148917,0.148856
0.226274,0.149822,0.149822,0.149822,0.149822,0.149884,0.149822
0.227688,0.150789,0.150789,0.15079,0.15079,0.150851,0.15079
0.229103,0.151756,0.151757,0.151757,0.151757,0.151818,0.151757
0.230517,0.152723,0.152724,0.152724,0.152724,0.152785,0.152724
0.231931,0.15369,0.153691,0.153691,0.153691,0.153752,0.153691
0.233345,0.154658,0.154658,0.154658,0.154658,0.154719,0.154658
0.234759,0.155625,0.155626,0.155626,0.155626,0.155686,0.155626
0.236174,0.156593,0.156593,0.156593,0.156593,0.156654,0.156593
0.237588,0.15756,0.157561,0.157561,0.157561,0.157621,0.157561
0.239002,0.158528,0.158528,0.158528,0.158528,0.158588,0.158528
0.240416,0.159495,0.159496,0.159496,0.159496,0.159556,0.159496
0.241831,0.160463,0.160464,0.160464,0.160464,0.160523,0.160464
0.243245,0.161431,0.161432,0.161432,0.161432,0.161491,0.161432
0.244659,0.162399,0.1624,0.1624,0.1624,0.162459,0.1624
0.246073,0.163367,0.163368,0.163368,0.163368,0.163427,0.163368
0.247487,0.164335,0.164336,0.164336,0.164336,0.164395,0.164336
0.248902,0.165304,0.165304,0.165304,0.165304,0.165363,0.165304
0.250316,0.166272,0.166272,0.166272,0.166272,0.166331,0.166272
0.25173,0.16724,0.167241,0.167241,0.167241,0.167299,0.167241
0.253144,0.168209,0.168209,0.168209,0.168209,0.168267,0.168209
0.254558,0.169177,0.169177,0.169177,0.169177,0.169236,0.169177
0.255973,0.170146,0.170146,0.170146,0.170146,0.170204,0.170146
0.257387,0.171114,0.171115,0.171115,0.171115,0.171173,0.171115
0.258801,0.172083,0.172084,0.172084,0.172084,0.172141,0.172084
0.260215,0.173052,0.173052,0.173052,0.173052,0.17311,0.173052
0.26163,0.174021,0.174021,0.174021,0.174021,0.174079,0.174021
0.263044,0.17499,0.17499,0.17499,0.17499,0.175047,0.17499
0.264458,0.175959,0.175959,0.175959,0.175959,0.176016,0.175959
0.265872,0.176928,0.176928,0.176928,0.176928,0.176985,0.176928
0.267286,0.177897,0.177897,0.177897,0.177897,0.177954,0.177897
0.268701,0.178866,0.178866,0.178866,0.178866,0.178923,0.178866
0.270115,0.179835,0.179836,0.179836,0.179836,0.179892,0.179836
0.271529,0.180805,0.180805,0.180805,0.180805,0.180862,0.180805
0.272943,0.181774,0.181775,0.181775,0.181775,0.181831,0.181775
0.274357,0.182744,0.182744,0.182744,0.182744,0.1828,0.182744
0.275772,0.183713,0.183713,0.183713,0.183713,0.183769,0.183713
0.277186,0.184683,0.184683,0.184683,0.184683,0.184739,0.184683
0.2786,0.185652,0.185653,0.185653,0.185653,0.185709,0.185653
0.280014,0.186622,0.186623,0.186623,0.186623,0.186678,0.186623
0.281428,0.187592,0.187592,0.187592,0.187592,0.187648,0.187592
0.282843,0.188562,0.188562,0.188562,0.188562,0.188617,0.188562
0.284257,0.189532,0.189532,0.189532,0.189532,0.189587,0.189532
0.285671,0.190502,0.190502,0.190502,0.190502,0.190557,0.190502
0.287085,0.191472,0.191472,0.191472,0.191472,0.191527,0.191472
0.2885,0.192442,0.192442,0.192442,0.192442,0.192497,0.192442
0.289914,0.193412,0.193412,0.193412,0.193412,0.193467,0.193412
0.291328,0.194382,0.194383,0.194383,0.194383,0.194437,0.194383
0.292742,0.195353,0.195353,0.195353,0.195353,0.195407,0.195353
0.294156,0.196323,0.196323,0.196323,0.196323,0.196378,0.196323
0.295571,0.197293,0.197294,0.197294,0.197294,0.197348,0.197294
0.296985,0.198264,0.198264,0.198264,0.198264,0.198318,0.198264
0.298399,0.199234,0.199235,0.199235,0.199235,0.199289,0.199235
0.299813,0.200205,0.200205,0.200205,0.200205,0.200259,0.200205
