"arc_length","f_1578","f_1705","f_1834","f_1978","f_1889","f_1881"
0.108894,0.0724309,0.0726064,0.072673,0.0727067,0.0712081,0.072766
0.110309,0.0732121,0.0733805,0.0734446,0.0734768,0.0721567,0.0735328
0.111723,0.0739933,0.0741546,0.0742162,0.0742469,0.0731053,0.0742997
0.113137,0.0747744,0.0749286,0.0749878,0.0750169,0.0740539,0.0750665
0.114551,0.0755556,0.0757027,0.0757594,0.075787,0.0750025,0.0758334
0.115966,0.0763368,0.0764767,0.076531,0.076557,0.0759511,0.0766002
0.11738,0.077118,0.0772508,0.0773026,0.0773271,0.0768997,0.0773671
0.118794,0.0778992,0.0780248,0.0780742,0.0780972,0.0778484,0.078134
0.120208,0.0786804,0.0787989,0.0788458,0.0788672,0.078797,0.0789008
0.121622,0.0794616,0.0795729,0.0796174,0.0796373,0.0797456,0.0796677
0.123037,0.0802427,0.080347,0.080389,0.0804073,0.0806942,0.0804345
0.124451,0.0810239,0.081121,0.0811606,0.0811774,0.0816428,0.0812014
0.125865,0.0818051,0.0818951,0.0819322,0.0819474,0.0825914,0.0819683
0.127279,0.0825863,0.0826691,0.0827039,0.0827175,0.08354,0.0827351
0.128693,0.0833675,0.0834432,0.0834755,0.0834876,0.0844886,0.083502
0.130108,0.0841487,0.0842172,0.0842471,0.0842576,0.0854372,0.0842688
0.131522,0.0849299,0.0849913,0.0850187,0.0850277,0.0863858,0.0850357
0.132936,0.085711,0.0857653,0.0857903,0.0857977,0.0873345,0.0858025
0.13435,0.0864922,0.0865394,0.0865619,0.0865678,0.0882831,0.0865694
0.135765,0.0872734,0.0873135,0.0873335,0.0873378,0.0892317,0.0873363
0.137179,0.0880546,0.0880875,0.0881051,0.0881079,0.0901803,0.0881031
0.138593,0.0888358,0.0888616,0.0888767,0.088878,0.0911289,0.08887
0.140007,0.089617,0.0896356,0.0896483,0.089648,0.0920775,0.0896368
0.141421,0.0903982,0.0904097,0.0904199,0.0904181,0.0930261,0.0904037
0.142836,0.0915668,0.0915867,0.0915987,0.0915977,0.0939813,0.0915869
0.14425,0.0927355,0.0927637,0.0927774,0.0927773,0.0949365,0.09277
0.145664,0.0939042,0.0939408,0.0939562,0.0939569,0.0958918,0.0939532
0.147078,0.0950729,0.0951178,0.095135,0.0951365,0.096847,0.0951363
0.148492,0.0962415,0.0962948,0.0963137,0.0963161,0.0978022,0.0963195
