"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.00272246,0.00277729,0.00263027,0.00247886
0.00282843,0.00544491,0.00555458,0.00526054,0.00495772
0.00424264,0.00816737,0.00833187,0.00789081,0.00743658
0.00565685,0.0108898,0.0111092,0.0105211,0.00991544
0.00707107,0.0136123,0.0138865,0.0131514,0.0123943
0.00848528,0.0163347,0.0166637,0.0157816,0.0148732
0.0098995,0.0190572,0.019441,0.0184119,0.017352
0.0113137,0.0217797,0.0222183,0.0210422,0.0198309
0.0127279,0.0245021,0.0249956,0.0236724,0.0223097
0.0141421,0.0272246,0.0277729,0.0263027,0.0247886
0.0155563,0.029947,0.0305502,0.028933,0.0272675
0.0169706,0.0326695,0.0333275,0.0315632,0.0297463
0.0183848,0.0353919,0.0361048,0.0341935,0.0322252
0.019799,0.0381144,0.0388821,0.0368238,0.034704
0.0212132,0.0408368,0.0416594,0.0394541,0.0371829
0.0226274,0.0435593,0.0444367,0.0420843,0.0396618
0.0240416,0.0462818,0.047214,0.0447146,0.0421406
0.0254558,0.0490042,0.0499912,0.0473449,0.0446195
0.0268701,0.0517267,0.0527685,0.0499751,0.0470983
0.0282843,0.0544491,0.0555458,0.0526054,0.0495772
0.0296985,0.0571716,0.0583231,0.0552357,0.0520561
0.0311127,0.059894,0.0611004,0.057866,0.0545349
0.0325269,0.0626165,0.0638777,0.0604962,0.0570138
0.0339411,0.065339,0.066655,0.0631265,0.0594926
0.0353553,0.0680614,0.0694323,0.0657568,0.0619715
0.0367696,0.0707839,0.0722096,0.068387,0.0644504
0.0381838,0.0735063,0.0749869,0.0710173,0.0669292
0.039598,0.0762288,0.0777642,0.0736476,0.0694081
0.0410122,0.0789512,0.0805415,0.0762778,0.0718869
0.0424264,0.0816737,0.0833187,0.0789081,0.0743658
0.0438406,0.0843962,0.086096,0.0815384,0.0768447
0.0452548,0.0871186,0.0888733,0.0841687,0.0793235
0.046669,0.0898411,0.0916506,0.0867989,0.0818024
0.0480833,0.0925635,0.0944279,0.0894292,0.0842812
0.0494975,0.095286,0.0972052,0.0920595,0.0867601
0.0509117,0.0980084,0.0999825,0.0946897,0.089239
0.0523259,0.100731,0.10276,0.09732,0.0917178
0.0537401,0.103453,0.105537,0.0999503,0.0941967
0.0551543,0.106176,0.108314,0.102581,0.0966755
0.0565685,0.108898,0.111092,0.105211,0.0991544
0.0579828,0.111621,0.113869,0.107841,0.101633
0.059397,0.114343,0.116646,0.110471,0.104112
0.0608112,0.117066,0.119424,0.113102,0.106591
0.0622254,0.119788,0.122201,0.115732,0.10907
0.0636396,0.122511,0.124978,0.118362,0.111549
0.0650538,0.125233,0.127755,0.120992,0.114028
0.066468,0.127955,0.130533,0.123623,0.116506
0.0678823,0.130678,0.13331,0.126253,0.118985
0.0692965,0.1334,0.136087,0.128883,0.121464
0.0707107,0.136123,0.138865,0.131514,0.123943
0.0721249,0.134929,0.138066,0.130946,0.123494
0.0735391,0.133734,0.137268,0.130378,0.123045
0.0749533,0.13254,0.13647,0.12981,0.122596
0.0763675,0.131346,0.135672,0.129242,0.122148
0.0777817,0.130152,0.134873,0.128674,0.121699
0.079196,0.128957,0.134075,0.128107,0.12125
0.0806102,0.127763,0.133277,0.127539,0.120801
0.0820244,0.126569,0.132479,0.126971,0.120352
0.0834386,0.125375,0.13168,0.126403,0.119903
0.0848528,0.124181,0.130882,0.125835,0.119454
0.086267,0.122986,0.130084,0.125267,0.119005
0.0876812,0.121792,0.129285,0.1247,0.118557
0.0890955,0.120598,0.128487,0.124132,0.118108
0.0905097,0.119404,0.127689,0.123564,0.117659
0.0919239,0.118209,0.126891,0.122996,0.11721
0.0933381,0.117015,0.126092,0.122428,0.116761
0.0947523,0.115821,0.125294,0.12186,0.116312
0.0961665,0.114627,0.124496,0.121293,0.115863
0.0975807,0.113433,0.123698,0.120725,0.115414
0.0989949,0.112238,0.122899,0.120157,0.114966
0.100409,0.111044,0.122101,0.119589,0.114517
0.101823,0.10985,0.121303,0.119021,0.114068
0.103238,0.108656,0.120505,0.118453,0.113619
0.104652,0.107461,0.119706,0.117886,0.11317
0.106066,0.106267,0.118908,0.117318,0.112721
0.10748,0.105073,0.11811,0.11675,0.112272
0.108894,0.103879,0.117312,0.116182,0.111823
0.110309,0.102685,0.116513,0.115614,0.111375
0.111723,0.10149,0.115715,0.115046,0.110926
0.113137,0.100296,0.114917,0.114479,0.110477
0.114551,0.0991019,0.114119,0.113911,0.110028
0.115966,0.0979077,0.11332,0.113343,0.109579
0.11738,0.0967135,0.112522,0.112775,0.10913
0.118794,0.0955193,0.111724,0.112207,0.108681
0.120208,0.094325,0.110925,0.111639,0.108232
0.121622,0.0931308,0.110127,0.111072,0.107784
0.123037,0.0919366,0.109329,0.110504,0.107335
0.124451,0.0907424,0.108531,0.109936,0.106886
0.125865,0.0895482,0.107732,0.109368,0.106437
0.127279,0.0883539,0.106934,0.1088,0.105988
0.128693,0.0871597,0.106136,0.108232,0.105539
0.130108,0.0859655,0.105338,0.107665,0.10509
