"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000802994,0.000804214,0.00080496,0.000805496,0.000848057,0.000815315
0.00282843,0.00160599,0.00160843,0.00160992,0.00161099,0.00169611,0.00163063
0.00424264,0.00240898,0.00241264,0.00241488,0.00241649,0.00254417,0.00244595
0.00565685,0.00321198,0.00321686,0.00321984,0.00322198,0.00339223,0.00326126
0.00707107,0.00401497,0.00402107,0.0040248,0.00402748,0.00424029,0.00407658
0.00848528,0.00481796,0.00482528,0.00482976,0.00483297,0.00508834,0.00489189
0.0098995,0.00562096,0.0056295,0.00563472,0.00563847,0.0059364,0.00570721
0.0113137,0.00642395,0.00643371,0.00643968,0.00644397,0.00678446,0.00652252
0.0127279,0.00722695,0.00723792,0.00724464,0.00724946,0.00763251,0.00733784
0.0141421,0.00802994,0.00804214,0.0080496,0.00805496,0.00848057,0.00815315
0.0155563,0.00883294,0.00884635,0.00885456,0.00886045,0.00932863,0.00896847
0.0169706,0.00963593,0.00965057,0.00965952,0.00966595,0.0101767,0.00978378
0.0183848,0.0104766,0.0104931,0.0105033,0.0105105,0.0110461,0.0106358
0.019799,0.011355,0.011374,0.0113858,0.0113943,0.011937,0.0115245
0.0212132,0.0122333,0.0122549,0.0122683,0.012278,0.0128279,0.0124133
0.0226274,0.0131117,0.0131359,0.0131509,0.0131617,0.0137187,0.013302
0.0240416,0.01399,0.0140168,0.0140334,0.0140454,0.0146096,0.0141907
0.0254558,0.0148684,0.0148977,0.0149159,0.0149291,0.0155005,0.0150794
0.0268701,0.0157467,0.0157786,0.0157984,0.0158128,0.0163913,0.0159682
0.0282843,0.0166251,0.0166595,0.016681,0.0166965,0.0172822,0.0168569
0.0296985,0.0175035,0.0175404,0.0175635,0.0175802,0.0181731,0.0177456
0.0311127,0.0183818,0.0184213,0.018446,0.0184639,0.0190639,0.0186343
0.0325269,0.0192602,0.0193022,0.0193286,0.0193476,0.0199548,0.0195231
0.0339411,0.0201385,0.0201831,0.0202111,0.0202313,0.0208456,0.0204118
0.0353553,0.0210169,0.021064,0.0210936,0.021115,0.0217365,0.0213005
0.0367696,0.0219402,0.0219895,0.0220201,0.0220418,0.0226522,0.0222202
0.0381838,0.0228635,0.022915,0.0229465,0.0229687,0.0235678,0.0231399
0.039598,0.0237868,0.0238405,0.023873,0.0238955,0.0244835,0.0240596
0.0410122,0.0247101,0.024766,0.0247995,0.0248223,0.0253992,0.0249793
0.0424264,0.0256334,0.0256915,0.0257259,0.0257491,0.0263148,0.0258991
0.0438406,0.0265568,0.0266171,0.0266524,0.0266759,0.0272305,0.0268188
0.0452548,0.0274801,0.0275426,0.0275788,0.0276028,0.0281462,0.0277385
0.046669,0.0284034,0.0284681,0.0285053,0.0285296,0.0290618,0.0286582
0.0480833,0.0293267,0.0293936,0.0294318,0.0294564,0.0299775,0.0295779
0.0494975,0.03025,0.0303191,0.0303582,0.0303832,0.0308931,0.0304976
0.0509117,0.0311733,0.0312446,0.0312847,0.03131,0.0318088,0.0314173
0.0523259,0.0320967,0.0321701,0.0322111,0.0322369,0.0327245,0.032337
0.0537401,0.0330264,0.0331015,0.0331431,0.0331689,0.0336477,0.0332644
0.0551543,0.0339626,0.034039,0.0340807,0.0341062,0.0345785,0.0341995
0.0565685,0.0348989,0.0349764,0.0350183,0.0350434,0.0355093,0.0351346
0.0579828,0.0358351,0.0359139,0.0359558,0.0359807,0.0364402,0.0360696
0.059397,0.0367713,0.0368513,0.0368934,0.0369179,0.037371,0.0370047
0.0608112,0.0377075,0.0377887,0.0378309,0.0378552,0.0383018,0.0379398
0.0622254,0.0386438,0.0387262,0.0387685,0.0387924,0.0392326,0.0388749
0.0636396,0.03958,0.0396636,0.039706,0.0397297,0.0401634,0.03981
0.0650538,0.0405162,0.040601,0.0406436,0.040667,0.0410942,0.0407451
0.066468,0.0414524,0.0415385,0.0415812,0.0416042,0.0420251,0.0416801
0.0678823,0.0423887,0.0424759,0.0425187,0.0425415,0.0429559,0.0426152
0.0692965,0.0433249,0.0434133,0.0434563,0.0434787,0.0438867,0.0435503
0.0707107,0.0442611,0.0443508,0.0443938,0.044416,0.0448175,0.0444854
0.0721249,0.0452069,0.0452971,0.0453398,0.0453616,0.0457581,0.0454294
0.0735391,0.0461526,0.0462434,0.0462858,0.0463073,0.0466988,0.0463734
0.0749533,0.0470983,0.0471897,0.0472318,0.0472529,0.0476394,0.0473174
0.0763675,0.0480441,0.048136,0.0481778,0.0481985,0.04858,0.0482614
0.0777817,0.0489898,0.0490823,0.0491238,0.0491441,0.0495206,0.0492054
0.079196,0.0499355,0.0500286,0.0500698,0.0500897,0.0504612,0.0501494
0.0806102,0.0508813,0.0509748,0.0510158,0.0510354,0.0514018,0.0510934
0.0820244,0.051827,0.0519211,0.0519618,0.051981,0.0523424,0.0520374
0.0834386,0.0527727,0.0528674,0.0529078,0.0529266,0.0532831,0.0529814
0.0848528,0.0537185,0.0538137,0.0538538,0.0538722,0.0542237,0.0539254
0.086267,0.0546642,0.05476,0.0547998,0.0548179,0.0551643,0.0548694
0.0876812,0.0556099,0.0557063,0.0557458,0.0557635,0.0561049,0.0558133
0.0890955,0.0565584,0.0566552,0.0566943,0.0567116,0.0570489,0.0567603
