"arc_length","N=0","N=1","N=2","N=3"
0,4.97367e-34,7.55722e-20,6.04631e-19,9.05623e-19
0.00141421,0.00013519,3.74069e-05,2.31615e-05,5.94862e-05
0.00282843,0.000270381,7.48138e-05,4.6323e-05,0.000118972
0.00424264,0.000405571,0.000112221,6.94845e-05,0.000178459
0.00565685,0.000540762,0.000149628,9.26459e-05,0.000237945
0.00707107,0.000675952,0.000187035,0.000115807,0.000297431
0.00848528,0.000811142,0.000224441,0.000138969,0.000356917
0.0098995,0.000946333,0.000261848,0.00016213,0.000416403
0.0113137,0.00108152,0.000299255,0.000185292,0.00047589
0.0127279,0.00121671,0.000336662,0.000208453,0.000535376
0.0141421,0.0013519,0.000374069,0.000231615,0.000594862
0.0155563,0.00148709,0.000411476,0.000254776,0.000654348
0.0169706,0.00162228,0.000448883,0.000277938,0.000713834
0.0183848,0.00175748,0.00048629,0.000301099,0.000773321
0.019799,0.00189267,0.000523697,0.000324261,0.000832807
0.0212132,0.00202786,0.000561104,0.000347422,0.000892293
0.0226274,0.00216305,0.000598511,0.000370584,0.000951779
0.0240416,0.00229824,0.000635918,0.000393745,0.00101127
0.0254558,0.00243343,0.000673324,0.000416907,0.00107075
0.0268701,0.00256862,0.000710731,0.000440068,0.00113024
0.0282843,0.00270381,0.000748138,0.00046323,0.00118972
0.0296985,0.002839,0.000785545,0.000486391,0.00124921
0.0311127,0.00297419,0.000822952,0.000509553,0.0013087
0.0325269,0.00310938,0.000860359,0.000532714,0.00136818
0.0339411,0.00324457,0.000897766,0.000555876,0.00142767
0.0353553,0.00337976,0.000935173,0.000579037,0.00148716
0.0367696,0.00351495,0.00097258,0.000602199,0.00154664
0.0381838,0.00365014,0.00100999,0.00062536,0.00160613
0.039598,0.00378533,0.00104739,0.000648522,0.00166561
0.0410122,0.00392052,0.0010848,0.000671683,0.0017251
0.0424264,0.00405571,0.00112221,0.000694845,0.00178459
0.0438406,0.0041909,0.00115961,0.000718006,0.00184407
0.0452548,0.00432609,0.00119702,0.000741168,0.00190356
0.046669,0.00446128,0.00123443,0.000764329,0.00196304
0.0480833,0.00459647,0.00127184,0.000787491,0.00202253
0.0494975,0.00473166,0.00130924,0.000810652,0.00208202
0.0509117,0.00486685,0.00134665,0.000833813,0.0021415
0.0523259,0.00500205,0.00138406,0.000856975,0.00220099
0.0537401,0.00513724,0.00142146,0.000880136,0.00226048
0.0551543,0.00527243,0.00145887,0.000903298,0.00231996
0.0565685,0.00540762,0.00149628,0.000926459,0.00237945
0.0579828,0.00554281,0.00153368,0.000949621,0.00243893
0.059397,0.005678,0.00157109,0.000972782,0.00249842
0.0608112,0.00581319,0.0016085,0.000995944,0.00255791
0.0622254,0.00594838,0.0016459,0.00101911,0.00261739
0.0636396,0.00608357,0.00168331,0.00104227,0.00267688
0.0650538,0.00621876,0.00172072,0.00106543,0.00273637
0.066468,0.00635395,0.00175813,0.00108859,0.00279585
0.0678823,0.00648914,0.00179553,0.00111175,0.00285534
0.0692965,0.00662433,0.00183294,0.00113491,0.00291482
0.0707107,0.00675952,0.00187035,0.00115807,0.00297431
0.0721249,0.00674341,0.00189431,0.00127539,0.0030813
0.0735391,0.0067273,0.00191828,0.00139271,0.00318829
0.0749533,0.00671119,0.00194224,0.00151002,0.00329528
0.0763675,0.00669508,0.0019662,0.00162734,0.00340227
0.0777817,0.00667897,0.00199017,0.00174465,0.00350926
0.079196,0.00666286,0.00201413,0.00186197,0.00361625
0.0806102,0.00664675,0.0020381,0.00197929,0.00372324
0.0820244,0.00663064,0.00206206,0.0020966,0.00383023
0.0834386,0.00661453,0.00208603,0.00221392,0.00393722
0.0848528,0.00659842,0.00210999,0.00233124,0.00404422
0.086267,0.00658231,0.00213396,0.00244855,0.00415121
0.0876812,0.0065662,0.00215792,0.00256587,0.0042582
0.0890955,0.00655009,0.00218189,0.00268318,0.00436519
0.0905097,0.00653398,0.00220585,0.0028005,0.00447218
0.0919239,0.00651787,0.00222982,0.00291782,0.00457917
0.0933381,0.00650176,0.00225378,0.00303513,0.00468616
0.0947523,0.00648565,0.00227775,0.00315245,0.00479315
0.0961665,0.00646954,0.00230171,0.00326976,0.00490014
0.0975807,0.00645344,0.00232568,0.00338708,0.00500713
0.0989949,0.00643733,0.00234964,0.0035044,0.00511412
0.100409,0.00642122,0.0023736,0.00362171,0.00522111
