"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.00066888,0.00066916,0.000669356,0.000669507,0.000704623,0.000670444
0.00282843,0.00133776,0.00133832,0.00133871,0.00133901,0.00140925,0.00134089
0.00424264,0.00200664,0.00200748,0.00200807,0.00200852,0.00211387,0.00201133
0.00565685,0.00267552,0.00267664,0.00267743,0.00267803,0.00281849,0.00268178
0.00707107,0.0033444,0.0033458,0.00334678,0.00334753,0.00352312,0.00335222
0.00848528,0.00419353,0.00419522,0.00419628,0.00419704,0.0043568,0.00420108
0.0098995,0.00504266,0.00504463,0.00504577,0.00504654,0.00519049,0.00504993
0.0113137,0.00589179,0.00589405,0.00589527,0.00589604,0.00602418,0.00589878
0.0127279,0.00674092,0.00674347,0.00674476,0.00674554,0.00685787,0.00674764
0.0141421,0.00759006,0.00759289,0.00759426,0.00759505,0.00769155,0.00759649
0.0155563,0.00847369,0.00847659,0.00847789,0.00847862,0.00856943,0.00847984
0.0169706,0.00935733,0.00936029,0.00936152,0.00936219,0.00944732,0.00936319
0.0183848,0.010241,0.010244,0.0102452,0.0102458,0.0103252,0.0102465
0.019799,0.0111246,0.0111277,0.0111288,0.0111293,0.0112031,0.0111299
0.0212132,0.0120083,0.0120114,0.0120124,0.0120129,0.012081,0.0120132
0.0226274,0.0129105,0.0129136,0.0129145,0.012915,0.0129804,0.0129152
0.0240416,0.0138127,0.0138157,0.0138166,0.013817,0.0138797,0.0138173
0.0254558,0.0147149,0.0147179,0.0147187,0.0147191,0.0147791,0.0147193
0.0268701,0.0156171,0.0156201,0.0156208,0.0156211,0.0156785,0.0156213
0.0282843,0.0165193,0.0165222,0.0165229,0.0165232,0.0165779,0.0165233
0.0296985,0.0174333,0.0174362,0.0174369,0.0174371,0.0174903,0.0174372
0.0311127,0.0183474,0.0183502,0.0183508,0.018351,0.0184027,0.0183512
0.0325269,0.0192615,0.0192642,0.0192648,0.019265,0.0193151,0.0192651
0.0339411,0.0201755,0.0201782,0.0201787,0.0201789,0.0202275,0.020179
0.0353553,0.0210896,0.0210922,0.0210927,0.0210928,0.0211399,0.021093
0.0367696,0.022012,0.0220146,0.0220151,0.0220152,0.0220612,0.0220153
0.0381838,0.0229345,0.022937,0.0229374,0.0229375,0.0229825,0.0229376
0.039598,0.0238569,0.0238593,0.0238598,0.0238599,0.0239038,0.02386
0.0410122,0.0247793,0.0247817,0.0247821,0.0247822,0.024825,0.0247823
0.0424264,0.0257018,0.0257041,0.0257045,0.0257046,0.0257463,0.0257047
0.0438406,0.0266305,0.0266328,0.0266331,0.0266332,0.0266743,0.0266333
0.0452548,0.0275593,0.0275615,0.0275618,0.0275619,0.0276022,0.027562
0.046669,0.028488,0.0284902,0.0284905,0.0284906,0.0285301,0.0284907
0.0480833,0.0294167,0.0294189,0.0294192,0.0294193,0.029458,0.0294193
0.0494975,0.0303455,0.0303476,0.0303479,0.0303479,0.0303859,0.030348
0.0509117,0.0312792,0.0312812,0.0312815,0.0312816,0.031319,0.0312817
0.0523259,0.0322129,0.0322149,0.0322152,0.0322153,0.032252,0.0322153
0.0537401,0.0331466,0.0331486,0.0331488,0.0331489,0.0331851,0.033149
0.0551543,0.0340803,0.0340822,0.0340825,0.0340826,0.0341182,0.0340826
0.0565685,0.035014,0.0350159,0.0350162,0.0350162,0.0350512,0.0350163
0.0579828,0.0359518,0.0359536,0.0359539,0.0359539,0.0359885,0.035954
0.059397,0.0368895,0.0368913,0.0368916,0.0368916,0.0369257,0.0368917
0.0608112,0.0378273,0.0378291,0.0378293,0.0378293,0.0378629,0.0378294
0.0622254,0.038765,0.0387668,0.038767,0.038767,0.0388002,0.0387671
0.0636396,0.0397028,0.0397045,0.0397047,0.0397047,0.0397374,0.0397048
0.0650538,0.0406439,0.0406456,0.0406458,0.0406458,0.0406781,0.0406459
0.066468,0.041585,0.0415867,0.0415868,0.0415869,0.0416188,0.0415869
0.0678823,0.0425261,0.0425277,0.0425279,0.042528,0.0425595,0.042528
0.0692965,0.0434672,0.0434688,0.043469,0.0434691,0.0435002,0.0434691
0.0707107,0.0444083,0.0444099,0.0444101,0.0444101,0.0444409,0.0444102
0.0721249,0.0453523,0.0453539,0.045354,0.0453541,0.0453845,0.0453541
0.0735391,0.0462963,0.0462978,0.046298,0.046298,0.0463281,0.046298
0.0749533,0.0472402,0.0472417,0.0472419,0.047242,0.0472717,0.047242
0.0763675,0.0481842,0.0481857,0.0481859,0.0481859,0.0482153,0.0481859
0.0777817,0.0491282,0.0491296,0.0491298,0.0491298,0.0491589,0.0491299
0.079196,0.0500746,0.0500761,0.0500762,0.0500763,0.0501051,0.0500763
0.0806102,0.0510211,0.0510225,0.0510226,0.0510227,0.0510512,0.0510227
0.0820244,0.0519675,0.0519689,0.051969,0.0519691,0.0519973,0.0519691
0.0834386,0.0529139,0.0529153,0.0529154,0.0529155,0.0529435,0.0529155
0.0848528,0.0538604,0.0538617,0.0538619,0.0538619,0.0538896,0.0538619
0.086267,0.054809,0.0548103,0.0548104,0.0548105,0.0548379,0.0548105
0.0876812,0.0557575,0.0557589,0.055759,0.055759,0.0557862,0.055759
0.0890955,0.0567061,0.0567074,0.0567076,0.0567076,0.0567346,0.0567076
0.0905097,0.0576547,0.057656,0.0576561,0.0576562,0.0576829,0.0576562
0.0919239,0.0586033,0.0586046,0.0586047,0.0586047,0.0586312,0.0586047
0.0933381,0.0595538,0.059555,0.0595552,0.0595552,0.0595815,0.0595552
0.0947523,0.0605043,0.0605055,0.0605056,0.0605057,0.0605317,0.0605057
0.0961665,0.0614548,0.061456,0.0614561,0.0614561,0.061482,0.0614562
0.0975807,0.0624053,0.0624065,0.0624066,0.0624066,0.0624322,0.0624066
0.0989949,0.0633558,0.0633569,0.0633571,0.0633571,0.0633825,0.0633571
0.100409,0.0643079,0.0643091,0.0643092,0.0643092,0.0643345,0.0643093
0.101823,0.0652601,0.0652613,0.0652614,0.0652614,0.0652865,0.0652614
0.103238,0.0662123,0.0662134,0.0662136,0.0662136,0.0662384,0.0662136
0.104652,0.0671645,0.0671656,0.0671657,0.0671657,0.0671904,0.0671658
0.106066,0.0681167,0.0681178,0.0681179,0.0681179,0.0681424,0.0681179
0.10748,0.0690704,0.0690715,0.0690716,0.0690716,0.0690959,0.0690716
0.108894,0.0700241,0.0700252,0.0700253,0.0700253,0.0700494,0.0700253
0.110309,0.0709778,0.0709789,0.070979,0.070979,0.0710029,0.070979
0.111723,0.0719315,0.0719326,0.0719326,0.0719327,0.0719565,0.0719327
0.113137,0.0728852,0.0728862,0.0728863,0.0728864,0.07291,0.0728864
0.114551,0.0738403,0.0738413,0.0738414,0.0738414,0.0738649,0.0738414
0.115966,0.0747953,0.0747964,0.0747965,0.0747965,0.0748198,0.0747965
0.11738,0.0757504,0.0757514,0.0757515,0.0757515,0.0757747,0.0757515
