"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0.108894,0.0700097,0.0700219,0.0700239,0.0700246,0.0700494,0.0700253
0.110309,0.0709635,0.0709757,0.0709776,0.0709783,0.0710029,0.070979
0.111723,0.0719174,0.0719294,0.0719313,0.071932,0.0719565,0.0719327
0.113137,0.0728712,0.0728831,0.0728851,0.0728857,0.07291,0.0728864
0.114551,0.0738264,0.0738383,0.0738401,0.0738408,0.0738649,0.0738414
0.115966,0.0747816,0.0747934,0.0747952,0.0747958,0.0748198,0.0747965
0.11738,0.0757368,0.0757485,0.0757503,0.0757509,0.0757747,0.0757515
0.118794,0.0766921,0.0767036,0.0767054,0.076706,0.0767296,0.0767066
0.120208,0.0776473,0.0776587,0.0776605,0.0776611,0.0776845,0.0776617
0.121622,0.0786037,0.0786151,0.0786168,0.0786174,0.0786407,0.078618
0.123037,0.0795602,0.0795714,0.0795732,0.0795737,0.0795969,0.0795743
0.124451,0.0805166,0.0805278,0.0805295,0.0805301,0.080553,0.0805306
0.125865,0.081473,0.0814841,0.0814858,0.0814864,0.0815092,0.0814869
0.127279,0.0824295,0.0824405,0.0824422,0.0824427,0.0824654,0.0824432
0.128693,0.0833871,0.083398,0.0833996,0.0834002,0.0834227,0.0834007
0.130108,0.0843446,0.0843555,0.0843571,0.0843576,0.0843801,0.0843582
0.131522,0.0853022,0.085313,0.0853146,0.0853151,0.0853374,0.0853156
0.132936,0.0862598,0.0862704,0.0862721,0.0862726,0.0862947,0.0862731
0.13435,0.0872174,0.0872279,0.0872295,0.08723,0.087252,0.0872305
0.135765,0.088176,0.0881865,0.088188,0.0881886,0.0882104,0.088189
0.137179,0.0891346,0.089145,0.0891466,0.0891471,0.0891688,0.0891475
0.138593,0.0900932,0.0901036,0.0901051,0.0901056,0.0901272,0.090106
0.140007,0.0910518,0.0910621,0.0910636,0.0910641,0.0910856,0.0910645
0.141421,0.0920104,0.0920206,0.0920221,0.0920226,0.092044,0.0920231
0.142836,0.09297,0.0929801,0.0929816,0.0929821,0.0930033,0.0929825
0.14425,0.0939296,0.0939396,0.0939411,0.0939416,0.0939627,0.093942
0.145664,0.0948892,0.0948991,0.0949006,0.094901,0.0949221,0.0949015
0.147078,0.0958487,0.0958586,0.0958601,0.0958605,0.0958814,0.0958609
0.148492,0.0968083,0.0968181,0.0968196,0.09682,0.0968408,0.0968204
0.149907,0.0977688,0.0977785,0.0977799,0.0977804,0.0978011,0.0977808
0.151321,0.0987292,0.0987389,0.0987403,0.0987408,0.0987613,0.0987411
0.152735,0.0996897,0.0996993,0.0997007,0.0997011,0.0997216,0.0997015
0.154149,0.10065,0.10066,0.100661,0.100661,0.100682,0.100662
0.155563,0.101611,0.10162,0.101621,0.101622,0.101642,0.101622
0.156978,0.102572,0.102581,0.102583,0.102583,0.102603,0.102583
0.158392,0.103533,0.103543,0.103544,0.103544,0.103564,0.103545
0.159806,0.104494,0.104504,0.104505,0.104505,0.104525,0.104506
0.16122,0.105456,0.105465,0.105466,0.105467,0.105487,0.105467
0.162635,0.106417,0.106426,0.106427,0.106428,0.106448,0.106428
0.164049,0.107379,0.107388,0.107389,0.10739,0.10741,0.10739
0.165463,0.108341,0.10835,0.108351,0.108352,0.108371,0.108352
0.166877,0.109303,0.109312,0.109313,0.109314,0.109333,0.109314
0.168291,0.110265,0.110274,0.110275,0.110276,0.110295,0.110276
0.169706,0.111227,0.111236,0.111237,0.111238,0.111257,0.111238
0.17112,0.11219,0.112199,0.1122,0.1122,0.11222,0.112201
0.172534,0.113153,0.113162,0.113163,0.113163,0.113182,0.113163
0.173948,0.114116,0.114124,0.114125,0.114126,0.114145,0.114126
0.175362,0.115078,0.115087,0.115088,0.115089,0.115107,0.115089
0.176777,0.116041,0.11605,0.116051,0.116051,0.11607,0.116052
0.178191,0.117005,0.117013,0.117014,0.117015,0.117033,0.117015
0.179605,0.117968,0.117976,0.117978,0.117978,0.117997,0.117978
0.181019,0.118931,0.11894,0.118941,0.118941,0.11896,0.118942
0.182434,0.119895,0.119903,0.119904,0.119905,0.119923,0.119905
0.183848,0.120858,0.120867,0.120868,0.120868,0.120887,0.120868
0.185262,0.121822,0.121831,0.121832,0.121832,0.12185,0.121832
0.186676,0.122786,0.122795,0.122796,0.122796,0.122814,0.122796
0.18809,0.12375,0.123759,0.12376,0.12376,0.123778,0.12376
0.189505,0.124715,0.124723,0.124724,0.124724,0.124742,0.124724
0.190919,0.125679,0.125687,0.125688,0.125688,0.125706,0.125688
0.192333,0.126643,0.126651,0.126652,0.126653,0.126671,0.126653
0.193747,0.127608,0.127616,0.127617,0.127617,0.127635,0.127618
0.195161,0.128573,0.128581,0.128582,0.128582,0.1286,0.128582
0.196576,0.129537,0.129545,0.129546,0.129547,0.129564,0.129547
0.19799,0.130502,0.13051,0.130511,0.130511,0.130529,0.130511
0.199404,0.131467,0.131475,0.131476,0.131476,0.131494,0.131477
0.200818,0.132432,0.13244,0.132441,0.132441,0.132459,0.132442
0.202233,0.133398,0.133405,0.133406,0.133407,0.133424,0.133407
0.203647,0.134363,0.13437,0.134371,0.134372,0.134389,0.134372
0.205061,0.135328,0.135336,0.135337,0.135337,0.135354,0.135337
0.206475,0.136294,0.136301,0.136302,0.136303,0.13632,0.136303
0.207889,0.137259,0.137267,0.137268,0.137268,0.137286,0.137269
0.209304,0.138225,0.138233,0.138234,0.138234,0.138251,0.138234
0.210718,0.139191,0.139198,0.139199,0.1392,0.139217,0.1392
0.212132,0.140157,0.140164,0.140165,0.140165,0.140182,0.140166
0.213546,0.141123,0.14113,0.141131,0.141132,0.141149,0.141132
0.21496,0.142089,0.142097,0.142098,0.142098,0.142115,0.142098
0.216375,0.143055,0.143063,0.143064,0.143064,0.143081,0.143064
0.217789,0.144022,0.144029,0.14403,0.14403,0.144047,0.14403
0.219203,0.144988,0.144995,0.144996,0.144996,0.145013,0.144997
0.220617,0.145955,0.145962,0.145963,0.145963,0.14598,0.145963
0.222032,0.146921,0.146929,0.146929,0.14693,0.146946,0.14693
0.223446,0.147888,0.147895,0.147896,0.147896,0.147913,0.147897
0.22486,0.148855,0.148862,0.148863,0.148863,0.14888,0.148863
0.226274,0.149821,0.149829,0.149829,0.14983,0.149846,0.14983
0.227688,0.150789,0.150796,0.150797,0.150797,0.150813,0.150797
0.229103,0.151756,0.151763,0.151764,0.151764,0.15178,0.151764
0.230517,0.152723,0.15273,0.152731,0.152731,0.152747,0.152731
0.231931,0.15369,0.153697,0.153698,0.153698,0.153714,0.153698
0.233345,0.154657,0.154664,0.154665,0.154665,0.154682,0.154665
0.234759,0.155625,0.155632,0.155633,0.155633,0.155649,0.155633
0.236174,0.156592,0.156599,0.1566,0.1566,0.156616,0.156601
0.237588,0.15756,0.157567,0.157568,0.157568,0.157584,0.157568
0.239002,0.158528,0.158534,0.158535,0.158535,0.158551,0.158536
0.240416,0.159495,0.159502,0.159503,0.159503,0.159519,0.159503
0.241831,0.160463,0.16047,0.160471,0.160471,0.160487,0.160471
0.243245,0.161431,0.161438,0.161439,0.161439,0.161455,0.161439
0.244659,0.162399,0.162406,0.162407,0.162407,0.162423,0.162407
0.246073,0.163367,0.163374,0.163375,0.163375,0.163391,0.163375
0.247487,0.164335,0.164342,0.164343,0.164343,0.164358,0.164343
0.248902,0.165303,0.16531,0.165311,0.165311,0.165327,0.165311
0.250316,0.166272,0.166278,0.166279,0.166279,0.166295,0.16628
0.25173,0.16724,0.167247,0.167248,0.167248,0.167263,0.167248
0.253144,0.168209,0.168215,0.168216,0.168216,0.168232,0.168216
0.254558,0.169177,0.169184,0.169184,0.169184,0.1692,0.169185
0.255973,0.170146,0.170152,0.170153,0.170153,0.170169,0.170153
0.257387,0.171114,0.171121,0.171122,0.171122,0.171137,0.171122
0.258801,0.172083,0.17209,0.17209,0.172091,0.172106,0.172091
0.260215,0.173052,0.173058,0.173059,0.173059,0.173075,0.173059
0.26163,0.174021,0.174027,0.174028,0.174028,0.174043,0.174028
0.263044,0.17499,0.174996,0.174997,0.174997,0.175012,0.174997
0.264458,0.175959,0.175965,0.175966,0.175966,0.175981,0.175966
0.265872,0.176928,0.176934,0.176935,0.176935,0.17695,0.176935
0.267286,0.177897,0.177903,0.177904,0.177904,0.177919,0.177904
0.268701,0.178866,0.178872,0.178873,0.178873,0.178888,0.178873
0.270115,0.179836,0.179842,0.179843,0.179843,0.179858,0.179843
0.271529,0.180805,0.180811,0.180812,0.180812,0.180827,0.180812
0.272943,0.181774,0.181781,0.181781,0.181782,0.181796,0.181782
0.274357,0.182744,0.18275,0.182751,0.182751,0.182766,0.182751
0.275772,0.183713,0.183719,0.18372,0.18372,0.183735,0.18372
0.277186,0.184683,0.184689,0.18469,0.18469,0.184705,0.18469
0.2786,0.185653,0.185659,0.18566,0.18566,0.185674,0.18566
0.280014,0.186623,0.186629,0.186629,0.186629,0.186644,0.18663
0.281428,0.187592,0.187598,0.187599,0.187599,0.187614,0.187599
0.282843,0.188562,0.188568,0.188569,0.188569,0.188584,0.188569
0.284257,0.189532,0.189538,0.189539,0.189539,0.189554,0.189539
0.285671,0.190502,0.190508,0.190509,0.190509,0.190524,0.190509
0.287085,0.191472,0.191478,0.191479,0.191479,0.191493,0.191479
0.2885,0.192442,0.192448,0.192449,0.192449,0.192463,0.192449
0.289914,0.193412,0.193418,0.193419,0.193419,0.193433,0.193419
0.291328,0.194383,0.194389,0.194389,0.194389,0.194404,0.194389
0.292742,0.195353,0.195359,0.19536,0.19536,0.195374,0.19536
0.294156,0.196323,0.196329,0.19633,0.19633,0.196344,0.19633
