"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.000284118,0.00025355,0.000235562,0.000223027
0.00282843,0.000568237,0.0005071,0.000471124,0.000446053
0.00424264,0.000852355,0.00076065,0.000706686,0.00066908
0.00565685,0.00113647,0.0010142,0.000942248,0.000892106
0.00707107,0.00142059,0.00126775,0.00117781,0.00111513
0.00848528,0.00170471,0.0015213,0.00141337,0.00133816
0.0098995,0.00198883,0.00177485,0.00164893,0.00156119
0.0113137,0.00227295,0.0020284,0.0018845,0.00178421
0.0127279,0.00255707,0.00228195,0.00212006,0.00200724
0.0141421,0.00284118,0.0025355,0.00235562,0.00223027
0.0155563,0.0031253,0.00278905,0.00259118,0.00245329
0.0169706,0.00340942,0.0030426,0.00282674,0.00267632
0.0183848,0.00362055,0.00319718,0.00294986,0.00277853
0.019799,0.00375869,0.00325279,0.00296052,0.00275994
0.0212132,0.00389683,0.00330841,0.00297118,0.00274134
0.0226274,0.00403497,0.00336402,0.00298184,0.00272275
0.0240416,0.00417311,0.00341963,0.0029925,0.00270415
0.0254558,0.00431125,0.00347524,0.00300316,0.00268556
0.0268701,0.00444939,0.00353086,0.00301382,0.00266696
0.0282843,0.00458753,0.00358647,0.00302448,0.00264836
0.0296985,0.00472568,0.00364208,0.00303514,0.00262977
0.0311127,0.00486382,0.00369769,0.0030458,0.00261117
0.0325269,0.00500196,0.00375331,0.00305646,0.00259258
0.0339411,0.0051401,0.00380892,0.00306712,0.00257398
0.0353553,0.00527824,0.00386453,0.00307778,0.00255539
0.0367696,0.00533877,0.00385023,0.00303615,0.00250288
0.0381838,0.00539931,0.00383593,0.00299452,0.00245037
0.039598,0.00545984,0.00382162,0.00295289,0.00239786
0.0410122,0.00552038,0.00380732,0.00291126,0.00234535
0.0424264,0.00558092,0.00379302,0.00286964,0.00229284
0.0438406,0.00564145,0.00377872,0.00282801,0.00224033
0.0452548,0.00570199,0.00376441,0.00278638,0.00218782
0.046669,0.00576252,0.00375011,0.00274475,0.00213531
0.0480833,0.00582306,0.00373581,0.00270312,0.0020828
0.0494975,0.00588359,0.0037215,0.00266149,0.00203029
0.0509117,0.00594413,0.0037072,0.00261986,0.00197778
0.0523259,0.00600467,0.0036929,0.00257823,0.00192527
0.0537401,0.00604597,0.0036703,0.00253767,0.0018804
0.0551543,0.00606803,0.0036394,0.00249816,0.00184318
0.0565685,0.0060901,0.0036085,0.00245866,0.00180597
0.0579828,0.00611217,0.00357761,0.00241916,0.00176875
0.059397,0.00613424,0.00354671,0.00237965,0.00173153
0.0608112,0.00615631,0.00351581,0.00234015,0.00169432
0.0622254,0.00617837,0.00348492,0.00230064,0.0016571
0.0636396,0.00620044,0.00345402,0.00226114,0.00161988
0.0650538,0.00622251,0.00342312,0.00222164,0.00158267
0.066468,0.00624458,0.00339223,0.00218213,0.00154545
0.0678823,0.00626664,0.00336133,0.00214263,0.00150823
0.0692965,0.00628871,0.00333043,0.00210313,0.00147101
0.0707107,0.00631078,0.00329953,0.00206362,0.0014338
0.0721249,0.00631453,0.00327007,0.00203618,0.00141294
0.0735391,0.00631829,0.0032406,0.00200874,0.00139209
0.0749533,0.00632204,0.00321114,0.0019813,0.00137123
0.0763675,0.0063258,0.00318167,0.00195385,0.00135037
0.0777817,0.00632955,0.00315221,0.00192641,0.00132952
0.079196,0.00633331,0.00312274,0.00189897,0.00130866
0.0806102,0.00633706,0.00309328,0.00187153,0.00128781
0.0820244,0.00634082,0.00306381,0.00184408,0.00126695
0.0834386,0.00634457,0.00303435,0.00181664,0.0012461
0.0848528,0.00634833,0.00300488,0.0017892,0.00122524
0.086267,0.00635209,0.00297542,0.00176176,0.00120438
0.0876812,0.00635584,0.00294595,0.00173431,0.00118353
0.0890955,0.00635544,0.00291938,0.00171183,0.00116743
0.0905097,0.00635089,0.0028957,0.00169429,0.0011561
0.0919239,0.00634635,0.00287202,0.00167676,0.00114476
0.0933381,0.0063418,0.00284834,0.00165922,0.00113343
0.0947523,0.00633725,0.00282466,0.00164169,0.00112209
0.0961665,0.0063327,0.00280098,0.00162415,0.00111076
0.0975807,0.00632815,0.0027773,0.00160662,0.00109942
0.0989949,0.0063236,0.00275362,0.00158909,0.00108809
0.100409,0.00631905,0.00272994,0.00157155,0.00107675
0.101823,0.00631451,0.00270626,0.00155402,0.00106542
0.103238,0.00630996,0.00268258,0.00153648,0.00105408
0.104652,0.00630541,0.0026589,0.00151895,0.00104275
0.106066,0.00630086,0.00263522,0.00150141,0.00103141
0.10748,0.00629285,0.00261711,0.00149005,0.00102447
0.108894,0.00628485,0.00259901,0.00147869,0.00101752
0.110309,0.00627684,0.00258091,0.00146732,0.00101058
0.111723,0.00626883,0.00256281,0.00145596,0.00100364
0.113137,0.00626083,0.00254471,0.00144459,0.000996692
0.114551,0.00625282,0.0025266,0.00143323,0.000989748
0.115966,0.00624481,0.0025085,0.00142186,0.000982803
0.11738,0.00623681,0.0024904,0.0014105,0.000975859
0.118794,0.0062288,0.0024723,0.00139913,0.000968915
0.120208,0.00622079,0.0024542,0.00138777,0.00096197
0.121622,0.00621279,0.00243609,0.00137641,0.000955026
0.123037,0.00620478,0.00241799,0.00136504,0.000948082
0.124451,0.00619619,0.00240203,0.00135539,0.000942014
0.125865,0.00618701,0.0023882,0.00134744,0.000936824
0.127279,0.00617783,0.00237437,0.00133949,0.000931634
0.128693,0.00616865,0.00236054,0.00133154,0.000926443
0.130108,0.00615947,0.00234671,0.00132359,0.000921253
0.131522,0.00615029,0.00233288,0.00131565,0.000916063
0.132936,0.00614111,0.00231904,0.0013077,0.000910872
0.13435,0.00613193,0.00230521,0.00129975,0.000905682
0.135765,0.00612275,0.00229138,0.0012918,0.000900492
0.137179,0.00611357,0.00227755,0.00128385,0.000895301
0.138593,0.00610439,0.00226372,0.0012759,0.000890111
0.140007,0.00609521,0.00224989,0.00126796,0.000884921
0.141421,0.00608603,0.00223606,0.00126001,0.00087973
0.142836,0.00607672,0.00222524,0.00125387,0.000875217
0.14425,0.0060674,0.00221442,0.00124772,0.000870703
0.145664,0.00605809,0.00220359,0.00124158,0.000866189
0.147078,0.00604878,0.00219277,0.00123544,0.000861675
0.148492,0.00603946,0.00218195,0.00122929,0.000857161
0.149907,0.00603015,0.00217113,0.00122315,0.000852648
0.151321,0.00602084,0.0021603,0.00121701,0.000848134
0.152735,0.00601152,0.00214948,0.00121086,0.00084362
0.154149,0.00600221,0.00213866,0.00120472,0.000839106
0.155563,0.00599289,0.00212784,0.00119858,0.000834592
0.156978,0.00598358,0.00211701,0.00119244,0.000830079
0.158392,0.00597427,0.00210619,0.00118629,0.000825565
0.159806,0.00596511,0.0020964,0.00118064,0.00082122
0.16122,0.0059561,0.00208763,0.00117546,0.000817043
0.162635,0.0059471,0.00207887,0.00117029,0.000812866
