"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0.120208,0.107947,0.114273,0.116267,0.116677,0.080647,0.0862552
0.121622,0.102802,0.10943,0.111487,0.111869,0.0816,0.0772933
0.123037,0.0976561,0.104588,0.106708,0.107061,0.082553,0.0683315
0.124451,0.0925104,0.0997459,0.101929,0.102252,0.083506,0.0593697
0.125865,0.0873648,0.0949036,0.0971496,0.0974441,0.084459,0.0504078
0.127279,0.0822192,0.0900614,0.0923703,0.0926358,0.085412,0.041446
0.128693,0.0770736,0.0852192,0.0875911,0.0878276,0.0863649,0.0324842
0.130108,0.0719279,0.080377,0.0828118,0.0830194,0.0873179,0.0235223
0.131522,0.0667823,0.0755347,0.0780325,0.0782111,0.0882709,0.0145605
0.132936,0.0616367,0.0706925,0.0732533,0.0734029,0.0892239,0.00559871
0.13435,0.0564911,0.0658503,0.068474,0.0685946,0.0901769,-0.00336314
0.135765,0.0513454,0.0610081,0.0636948,0.0637863,0.0911299,-0.012325
0.137179,0.0461998,0.0561658,0.0589155,0.0589781,0.0920829,-0.0212868
0.138593,0.0410542,0.0513236,0.0541363,0.0541698,0.0930358,-0.0302486
0.140007,0.0359086,0.0464814,0.049357,0.0493616,0.0939888,-0.0392105
0.141421,0.030763,0.0416392,0.0445778,0.0445533,0.0949418,-0.0481723
0.142836,0.0382278,0.048676,0.0515312,0.0515342,0.0959004,-0.0361057
0.14425,0.0456926,0.0557128,0.0584847,0.0585151,0.0968589,-0.0240392
0.145664,0.0531575,0.0627496,0.0654382,0.065496,0.0978174,-0.0119726
0.147078,0.0606223,0.0697864,0.0723917,0.0724769,0.098776,9.4033e-05
0.148492,0.0680872,0.0768232,0.0793451,0.0794577,0.0997345,0.0121605
0.149907,0.075552,0.08386,0.0862986,0.0864386,0.100693,0.0242271
0.151321,0.0830169,0.0908968,0.0932521,0.0934196,0.101652,0.0362938
0.152735,0.0904817,0.0979336,0.100206,0.1004,0.10261,0.0483604
0.154149,0.0979466,0.10497,0.107159,0.107381,0.103569,0.0604269
0.155563,0.105411,0.112007,0.114113,0.114362,0.104527,0.0724935
0.156978,0.112876,0.119044,0.121066,0.121343,0.105486,0.0845601
0.158392,0.120341,0.126081,0.12802,0.128324,0.106444,0.0966267
0.159806,0.127806,0.133118,0.134973,0.135305,0.107403,0.108693
0.16122,0.135271,0.140154,0.141926,0.142286,0.108361,0.12076
0.162635,0.142736,0.147191,0.14888,0.149267,0.10932,0.132826
0.164049,0.1502,0.154228,0.155833,0.156248,0.110278,0.144893
0.165463,0.157665,0.161265,0.162787,0.163228,0.111237,0.15696
0.166877,0.16513,0.168302,0.16974,0.170209,0.112195,0.169026
0.168291,0.172595,0.175338,0.176694,0.17719,0.113154,0.181093
0.169706,0.18006,0.182375,0.183647,0.184171,0.114113,0.193159
0.17112,0.187525,0.189412,0.190601,0.191152,0.115071,0.205226
0.172534,0.19499,0.196449,0.197554,0.198133,0.11603,0.217292
0.173948,0.202454,0.203486,0.204508,0.205114,0.116988,0.229359
0.175362,0.209919,0.210522,0.211461,0.212095,0.117947,0.241426
0.176777,0.217384,0.217559,0.218415,0.219076,0.118905,0.253492
0.178191,0.224849,0.224596,0.225368,0.226057,0.119864,0.265559
0.179605,0.232314,0.231633,0.232322,0.233037,0.120822,0.277625
0.181019,0.239779,0.23867,0.239275,0.240018,0.121781,0.289692
0.182434,0.247243,0.245706,0.246229,0.246999,0.122739,0.301758
0.183848,0.254708,0.252743,0.253182,0.25398,0.123698,0.313825
0.185262,0.262173,0.25978,0.260136,0.260961,0.124656,0.325892
0.186676,0.269638,0.266817,0.267089,0.267942,0.125615,0.337958
0.18809,0.277103,0.273854,0.274043,0.274923,0.126574,0.350025
0.189505,0.284568,0.280891,0.280996,0.281904,0.127532,0.362091
0.190919,0.292033,0.287927,0.28795,0.288885,0.128491,0.374158
