"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.00092345,0.00092822,0.000931205,0.000933278,0.00090693,0.000967456
0.00282843,0.0018469,0.00185644,0.00186241,0.00186656,0.00181386,0.00193491
0.00424264,0.00277035,0.00278466,0.00279361,0.00279983,0.00272079,0.00290237
0.00565685,0.0036938,0.00371288,0.00372482,0.00373311,0.00362772,0.00386982
0.00707107,0.00461725,0.0046411,0.00465602,0.00466639,0.00453465,0.00483728
0.00848528,0.0055407,0.00556932,0.00558723,0.00559967,0.00544158,0.00580474
0.0098995,0.00646415,0.00649754,0.00651843,0.00653294,0.00634851,0.00677219
0.0113137,0.0073876,0.00742576,0.00744964,0.00746622,0.00725544,0.00773965
0.0127279,0.00831104,0.00835398,0.00838084,0.0083995,0.00816237,0.0087071
0.0141421,0.00923449,0.0092822,0.00931205,0.00933277,0.0090693,0.00967456
0.0155563,0.0101579,0.0102104,0.0102433,0.0102661,0.00997623,0.010642
0.0169706,0.0110814,0.0111386,0.0111745,0.0111993,0.0108832,0.0116095
0.0183848,0.0120048,0.0120669,0.0121057,0.0121326,0.0117901,0.0125769
0.019799,0.0129283,0.0129951,0.0130369,0.0130659,0.012697,0.0135444
0.0212132,0.0138517,0.0139233,0.0139681,0.0139992,0.0136039,0.0145118
0.0226274,0.0147752,0.0148515,0.0148993,0.0149324,0.0145109,0.0154793
0.0240416,0.0156986,0.0157797,0.0158305,0.0158657,0.0154178,0.0164468
0.0254558,0.0166221,0.016708,0.0167617,0.016799,0.0163247,0.0174142
0.0268701,0.0175455,0.0176362,0.0176929,0.0177323,0.0172317,0.0183817
0.0282843,0.018469,0.0185644,0.0186241,0.0186655,0.0181386,0.0193491
0.0296985,0.0193924,0.0194926,0.0195553,0.0195988,0.0190455,0.0203166
0.0311127,0.0203159,0.0204208,0.0204865,0.0205321,0.0199525,0.021284
0.0325269,0.0212393,0.0213491,0.0214177,0.0214654,0.0208594,0.0222515
0.0339411,0.0221628,0.0222773,0.0223489,0.0223987,0.0217663,0.0232189
0.0353553,0.0230862,0.0232055,0.0232801,0.0233319,0.0226733,0.0241864
0.0367696,0.0238914,0.0240099,0.0240844,0.0241367,0.0235994,0.0249793
0.0381838,0.0246965,0.0248144,0.0248888,0.0249414,0.0245255,0.0257721
0.039598,0.0255017,0.0256188,0.0256931,0.0257461,0.0254517,0.026565
0.0410122,0.0263068,0.0264232,0.0264974,0.0265509,0.0263778,0.0273579
0.0424264,0.027112,0.0272276,0.0273018,0.0273556,0.027304,0.0281508
0.0438406,0.0279171,0.028032,0.0281061,0.0281603,0.0282301,0.0289436
0.0452548,0.0287223,0.0288365,0.0289104,0.0289651,0.0291563,0.0297365
0.046669,0.0295275,0.0296409,0.0297147,0.0297698,0.0300824,0.0305294
0.0480833,0.0303326,0.0304453,0.0305191,0.0305745,0.0310086,0.0313223
0.0494975,0.0311378,0.0312497,0.0313234,0.0313793,0.0319347,0.0321151
0.0509117,0.0319429,0.0320541,0.0321277,0.032184,0.0328609,0.032908
0.0523259,0.0327481,0.0328586,0.0329321,0.0329887,0.033787,0.0337009
0.0537401,0.0335532,0.033663,0.0337364,0.0337934,0.0347132,0.0344937
0.0551543,0.0343584,0.0344674,0.0345407,0.0345982,0.0356393,0.0352866
0.0565685,0.0351635,0.0352718,0.035345,0.0354029,0.0365655,0.0360795
0.0579828,0.0359687,0.0360763,0.0361494,0.0362076,0.0374916,0.0368724
0.059397,0.0367738,0.0368807,0.0369537,0.0370124,0.0384177,0.0376652
0.0608112,0.037579,0.0376851,0.037758,0.0378171,0.0393439,0.0384581
0.0622254,0.0383841,0.0384895,0.0385624,0.0386218,0.04027,0.039251
0.0636396,0.0391893,0.0392939,0.0393667,0.0394266,0.0411962,0.0400438
0.0650538,0.0399944,0.0400984,0.040171,0.0402313,0.0421223,0.0408367
0.066468,0.0407996,0.0409028,0.0409753,0.041036,0.0430485,0.0416296
0.0678823,0.0416047,0.0417072,0.0417797,0.0418408,0.0439746,0.0424225
0.0692965,0.0424099,0.0425116,0.042584,0.0426455,0.0449008,0.0432153
0.0707107,0.043215,0.0433161,0.0433883,0.0434502,0.0458269,0.0440082
0.0721249,0.0442593,0.0443782,0.04446,0.0445282,0.0467663,0.0450972
0.0735391,0.0453036,0.0454404,0.0455317,0.0456063,0.0477056,0.0461861
0.0749533,0.0463479,0.0465025,0.0466033,0.0466843,0.048645,0.0472751
0.0763675,0.0473921,0.0475647,0.047675,0.0477623,0.0495844,0.048364
0.0777817,0.0484364,0.0486269,0.0487467,0.0488403,0.0505237,0.049453
0.079196,0.0494807,0.049689,0.0498183,0.0499183,0.0514631,0.050542
0.0806102,0.0505249,0.0507512,0.05089,0.0509963,0.0524024,0.0516309
0.0820244,0.0515692,0.0518134,0.0519617,0.0520743,0.0533418,0.0527199
0.0834386,0.0526135,0.0528755,0.0530333,0.0531524,0.0542811,0.0538089
0.0848528,0.0536578,0.0539377,0.054105,0.0542304,0.0552205,0.0548978
0.086267,0.054702,0.0549999,0.0551767,0.0553084,0.0561599,0.0559868
0.0876812,0.0557463,0.056062,0.0562483,0.0563864,0.0570992,0.0570757
0.0890955,0.0567906,0.0571242,0.05732,0.0574644,0.0580386,0.0581647
0.0905097,0.0578348,0.0581864,0.0583917,0.0585424,0.0589779,0.0592537
0.0919239,0.0588791,0.0592485,0.0594633,0.0596204,0.0599173,0.0603426
0.0933381,0.0599234,0.0603107,0.060535,0.0606984,0.0608567,0.0614316
