"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.000268842,0.000236396,0.000220161,0.000192988
0.00282843,0.000537684,0.000472791,0.000440323,0.000385976
0.00424264,0.000806526,0.000709187,0.000660484,0.000578964
0.00565685,0.00107537,0.000945583,0.000880646,0.000771952
0.00707107,0.00134421,0.00118198,0.00110081,0.00096494
0.00848528,0.00161305,0.00141837,0.00132097,0.00115793
0.0098995,0.00188189,0.00165477,0.00154113,0.00135092
0.0113137,0.00215074,0.00189117,0.00176129,0.0015439
0.0127279,0.00241958,0.00212756,0.00198145,0.00173689
0.0141421,0.00268842,0.00236396,0.00220161,0.00192988
0.0155563,0.00295726,0.00260035,0.00242178,0.00212287
0.0169706,0.0032261,0.00283675,0.00264194,0.00231586
0.0183848,0.00349494,0.00307314,0.0028621,0.00250884
0.019799,0.00376379,0.00330954,0.00308226,0.00270183
0.0212132,0.00403263,0.00354594,0.00330242,0.00289482
0.0226274,0.00430147,0.00378233,0.00352258,0.00308781
0.0240416,0.00457031,0.00401873,0.00374274,0.0032808
0.0254558,0.00483915,0.00425512,0.0039629,0.00347378
0.0268701,0.005108,0.00449152,0.00418307,0.00366677
0.0282843,0.00537684,0.00472791,0.00440323,0.00385976
0.0296985,0.00564568,0.00496431,0.00462339,0.00405275
0.0311127,0.00591452,0.00520071,0.00484355,0.00424574
0.0325269,0.00618336,0.0054371,0.00506371,0.00443872
0.0339411,0.0064522,0.0056735,0.00528387,0.00463171
0.0353553,0.00672105,0.00590989,0.00550403,0.0048247
0.0367696,0.0066912,0.00579958,0.0053578,0.00467231
0.0381838,0.00666136,0.00568928,0.00521157,0.00451992
0.039598,0.00663152,0.00557897,0.00506534,0.00436754
0.0410122,0.00660167,0.00546866,0.00491911,0.00421515
0.0424264,0.00657183,0.00535835,0.00477287,0.00406276
0.0438406,0.00654199,0.00524805,0.00462664,0.00391037
0.0452548,0.00651214,0.00513774,0.00448041,0.00375798
0.046669,0.0064823,0.00502743,0.00433418,0.0036056
0.0480833,0.00645246,0.00491712,0.00418795,0.00345321
0.0494975,0.00642261,0.00480681,0.00404171,0.00330082
0.0509117,0.00639277,0.00469651,0.00389548,0.00314843
0.0523259,0.00636293,0.0045862,0.00374925,0.00299605
0.0537401,0.00633308,0.00447589,0.00360302,0.00284366
0.0551543,0.00630324,0.00436558,0.00345679,0.00269127
0.0565685,0.0062734,0.00425528,0.00331055,0.00253888
0.0579828,0.00624355,0.00414497,0.00316432,0.00238649
0.059397,0.00621371,0.00403466,0.00301809,0.00223411
0.0608112,0.00618387,0.00392435,0.00287186,0.00208172
0.0622254,0.00615402,0.00381404,0.00272563,0.00192933
0.0636396,0.00612418,0.00370374,0.00257939,0.00177694
0.0650538,0.00609434,0.00359343,0.00243316,0.00162456
0.066468,0.00606449,0.00348312,0.00228693,0.00147217
0.0678823,0.00603465,0.00337281,0.0021407,0.00131978
0.0692965,0.00600481,0.00326251,0.00199447,0.00116739
0.0707107,0.00597496,0.0031522,0.00184824,0.00101501
0.0721249,0.00603871,0.00319443,0.00190091,0.00107645
0.0735391,0.00610245,0.00323666,0.00195359,0.00113789
0.0749533,0.0061662,0.00327889,0.00200627,0.00119933
0.0763675,0.00622994,0.00332112,0.00205895,0.00126078
0.0777817,0.00629369,0.00336335,0.00211163,0.00132222
0.079196,0.00635743,0.00340559,0.00216431,0.00138366
0.0806102,0.00642118,0.00344782,0.00221699,0.00144511
0.0820244,0.00648492,0.00349005,0.00226967,0.00150655
0.0834386,0.00654867,0.00353228,0.00232235,0.00156799
0.0848528,0.00661241,0.00357451,0.00237503,0.00162943
0.086267,0.00667616,0.00361674,0.00242771,0.00169088
0.0876812,0.0067399,0.00365897,0.00248039,0.00175232
0.0890955,0.00680365,0.0037012,0.00253307,0.00181376
0.0905097,0.00686739,0.00374344,0.00258575,0.00187521
0.0919239,0.00693113,0.00378567,0.00263843,0.00193665
0.0933381,0.00699488,0.0038279,0.00269111,0.00199809
0.0947523,0.00705862,0.00387013,0.00274379,0.00205953
0.0961665,0.00712237,0.00391236,0.00279647,0.00212098
0.0975807,0.00718611,0.00395459,0.00284915,0.00218242
0.0989949,0.00724986,0.00399682,0.00290183,0.00224386
0.100409,0.0073136,0.00403906,0.00295451,0.00230531
0.101823,0.00737735,0.00408129,0.00300719,0.00236675
0.103238,0.00744109,0.00412352,0.00305987,0.00242819
