"arc_length","N=0","N=1","N=2","N=3"
0.16122,0.0781419,0.0870164,0.0941145,0.100089
0.162635,0.0800134,0.0883439,0.0951699,0.100985
0.164049,0.081885,0.0896713,0.0962253,0.101881
0.165463,0.0837565,0.0909988,0.0972807,0.102777
0.166877,0.0856281,0.0923263,0.0983361,0.103673
0.168291,0.0874997,0.0936538,0.0993916,0.104569
0.169706,0.0893712,0.0949812,0.100447,0.105464
0.17112,0.0912428,0.0963087,0.101502,0.10636
0.172534,0.0931144,0.0976362,0.102558,0.107256
0.173948,0.0949859,0.0989637,0.103613,0.108152
0.175362,0.0968575,0.100291,0.104669,0.109048
0.176777,0.098729,0.101619,0.105724,0.109944
0.178191,0.100601,0.102946,0.106779,0.110839
0.179605,0.102472,0.104274,0.107835,0.111735
0.181019,0.104344,0.105601,0.10889,0.112631
0.182434,0.106215,0.106929,0.109946,0.113527
0.183848,0.108087,0.108256,0.111001,0.114423
0.185262,0.109958,0.109583,0.112057,0.115319
0.186676,0.11183,0.110911,0.113112,0.116215
0.18809,0.113702,0.112238,0.114167,0.11711
0.189505,0.115573,0.113566,0.115223,0.118006
0.190919,0.117445,0.114893,0.116278,0.118902
0.192333,0.119316,0.116221,0.117334,0.119798
0.193747,0.121188,0.117548,0.118389,0.120694
0.195161,0.123059,0.118876,0.119444,0.12159
0.196576,0.124931,0.120203,0.1205,0.122485
0.19799,0.126802,0.121531,0.121555,0.123381
0.199404,0.128674,0.122858,0.122611,0.124277
0.200818,0.130546,0.124186,0.123666,0.125173
0.202233,0.132417,0.125513,0.124721,0.126069
0.203647,0.134289,0.126841,0.125777,0.126965
0.205061,0.13616,0.128168,0.126832,0.127861
0.206475,0.138032,0.129496,0.127888,0.128756
0.207889,0.139903,0.130823,0.128943,0.129652
0.209304,0.141775,0.132151,0.129999,0.130548
0.210718,0.143646,0.133478,0.131054,0.131444
0.212132,0.145518,0.134806,0.132109,0.13234
0.213546,0.144799,0.134776,0.132353,0.132713
0.21496,0.14408,0.134746,0.132596,0.133085
0.216375,0.143361,0.134717,0.132839,0.133458
0.217789,0.142643,0.134687,0.133082,0.133831
0.219203,0.141924,0.134658,0.133325,0.134204
0.220617,0.141205,0.134628,0.133569,0.134577
0.222032,0.140486,0.134599,0.133812,0.13495
0.223446,0.139767,0.134569,0.134055,0.135323
0.22486,0.139048,0.13454,0.134298,0.135695
0.226274,0.138329,0.13451,0.134542,0.136068
0.227688,0.137611,0.134481,0.134785,0.136441
0.229103,0.136892,0.134451,0.135028,0.136814
0.230517,0.136173,0.134422,0.135271,0.137187
0.231931,0.135454,0.134392,0.135515,0.13756
0.233345,0.134735,0.134363,0.135758,0.137933
0.234759,0.134016,0.134333,0.136001,0.138306
0.236174,0.133297,0.134304,0.136244,0.138678
0.237588,0.132578,0.134274,0.136487,0.139051
0.239002,0.13186,0.134245,0.136731,0.139424
0.240416,0.131141,0.134215,0.136974,0.139797
0.241831,0.130422,0.134186,0.137217,0.14017
0.243245,0.129703,0.134156,0.13746,0.140543
0.244659,0.128984,0.134126,0.137704,0.140916
0.246073,0.128265,0.134097,0.137947,0.141288
0.247487,0.127546,0.134067,0.13819,0.141661
0.248902,0.126828,0.134038,0.138433,0.142034
0.250316,0.126109,0.134008,0.138677,0.142407
0.25173,0.12539,0.133979,0.13892,0.14278
0.253144,0.124671,0.133949,0.139163,0.143153
0.254558,0.123952,0.13392,0.139406,0.143526
0.255973,0.123233,0.13389,0.139649,0.143898
0.257387,0.122514,0.133861,0.139893,0.144271
0.258801,0.121796,0.133831,0.140136,0.144644
0.260215,0.121077,0.133802,0.140379,0.145017
0.26163,0.120358,0.133772,0.140622,0.14539
0.263044,0.119639,0.133743,0.140866,0.145763
0.264458,0.11892,0.133713,0.141109,0.146136
0.265872,0.118201,0.133684,0.141352,0.146509
0.267286,0.117482,0.133654,0.141595,0.146881
0.268701,0.116763,0.133625,0.141839,0.147254
0.270115,0.116045,0.133595,0.142082,0.147627
0.271529,0.115326,0.133566,0.142325,0.148
0.272943,0.114607,0.133536,0.142568,0.148373
0.274357,0.113888,0.133506,0.142811,0.148746
0.275772,0.113169,0.133477,0.143055,0.149119
0.277186,0.11245,0.133447,0.143298,0.149491
0.2786,0.111731,0.133418,0.143541,0.149864
0.280014,0.111013,0.133388,0.143784,0.150237
0.281428,0.110294,0.133359,0.144028,0.15061
0.282843,0.109575,0.133329,0.144271,0.150983
0.284257,0.110862,0.133954,0.144738,0.151422
0.285671,0.11215,0.134578,0.145206,0.151862
0.287085,0.113437,0.135202,0.145673,0.152301
0.2885,0.114724,0.135826,0.14614,0.15274
0.289914,0.116012,0.136451,0.146608,0.15318
0.291328,0.117299,0.137075,0.147075,0.153619
0.292742,0.118587,0.137699,0.147542,0.154058
0.294156,0.119874,0.138324,0.14801,0.154498
0.295571,0.121162,0.138948,0.148477,0.154937
0.296985,0.122449,0.139572,0.148945,0.155376
0.298399,0.123736,0.140196,0.149412,0.155816
0.299813,0.125024,0.140821,0.149879,0.156255
0.301227,0.126311,0.141445,0.150347,0.156695
0.302642,0.127599,0.142069,0.150814,0.157134
0.304056,0.128886,0.142694,0.151282,0.157573
0.30547,0.130173,0.143318,0.151749,0.158013
0.306884,0.131461,0.143942,0.152216,0.158452
0.308299,0.132748,0.144566,0.152684,0.158891
0.309713,0.134036,0.145191,0.153151,0.159331
0.311127,0.135323,0.145815,0.153618,0.15977
0.312541,0.136611,0.146439,0.154086,0.160209
0.313955,0.137898,0.147063,0.154553,0.160649
0.31537,0.139185,0.147688,0.155021,0.161088
0.316784,0.140473,0.148312,0.155488,0.161528
0.318198,0.14176,0.148936,0.155955,0.161967
0.319612,0.143048,0.149561,0.156423,0.162406
0.321026,0.144335,0.150185,0.15689,0.162846
0.322441,0.145623,0.150809,0.157358,0.163285
0.323855,0.14691,0.151433,0.157825,0.163724
0.325269,0.148197,0.152058,0.158292,0.164164
0.326683,0.149485,0.152682,0.15876,0.164603
0.328098,0.150772,0.153306,0.159227,0.165042
0.329512,0.15206,0.153931,0.159695,0.165482
0.330926,0.153347,0.154555,0.160162,0.165921
0.33234,0.154634,0.155179,0.160629,0.16636
0.333754,0.155922,0.155803,0.161097,0.1668
0.335169,0.157209,0.156428,0.161564,0.167239
0.336583,0.158497,0.157052,0.162031,0.167679
0.337997,0.159784,0.157676,0.162499,0.168118
0.339411,0.161072,0.1583,0.162966,0.168557
0.340825,0.162359,0.158925,0.163434,0.168997
0.34224,0.163646,0.159549,0.163901,0.169436
0.343654,0.164934,0.160173,0.164368,0.169875
0.345068,0.166221,0.160798,0.164836,0.170315
0.346482,0.167509,0.161422,0.165303,0.170754
0.347897,0.168796,0.162046,0.165771,0.171193
0.349311,0.170083,0.16267,0.166238,0.171633
0.350725,0.171371,0.163295,0.166705,0.172072
0.352139,0.172658,0.163919,0.167173,0.172511
0.353553,0.173946,0.164543,0.16764,0.172951
0.354968,0.173649,0.16492,0.168121,0.173439
0.356382,0.173352,0.165298,0.168603,0.173926
0.357796,0.173056,0.165675,0.169084,0.174414
0.35921,0.172759,0.166052,0.169566,0.174902
0.360624,0.172463,0.166429,0.170047,0.175389
0.362039,0.172166,0.166806,0.170528,0.175877
0.363453,0.171869,0.167183,0.17101,0.176365
0.364867,0.171573,0.16756,0.171491,0.176853
0.366281,0.171276,0.167938,0.171973,0.17734
0.367696,0.170979,0.168315,0.172454,0.177828
0.36911,0.170683,0.168692,0.172935,0.178316
0.370524,0.170386,0.169069,0.173417,0.178804
0.371938,0.170089,0.169446,0.173898,0.179291
0.373352,0.169793,0.169823,0.17438,0.179779
0.374767,0.169496,0.1702,0.174861,0.180267
0.376181,0.1692,0.170577,0.175342,0.180754
0.377595,0.168903,0.170955,0.175824,0.181242
0.379009,0.168606,0.171332,0.176305,0.18173
0.380423,0.16831,0.171709,0.176787,0.182218
0.381838,0.168013,0.172086,0.177268,0.182705
0.383252,0.167716,0.172463,0.177749,0.183193
