"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.00026397,0.00023017,0.000211448,0.000199011
0.00282843,0.000527939,0.000460339,0.000422896,0.000398021
0.00424264,0.000791909,0.000690509,0.000634344,0.000597032
0.00565685,0.00105588,0.000920678,0.000845793,0.000796042
0.00707107,0.00131985,0.00115085,0.00105724,0.000995053
0.00848528,0.00158382,0.00138102,0.00126869,0.00119406
0.0098995,0.00184779,0.00161119,0.00148014,0.00139307
0.0113137,0.00211176,0.00184136,0.00169159,0.00159208
0.0127279,0.00237573,0.00207153,0.00190303,0.0017911
0.0141421,0.0026397,0.0023017,0.00211448,0.00199011
0.0155563,0.00290366,0.00253187,0.00232593,0.00218912
0.0169706,0.00316763,0.00276203,0.00253738,0.00238813
0.0183848,0.00334233,0.00287712,0.00262204,0.00245392
0.019799,0.00342777,0.00287713,0.00257992,0.00238649
0.0212132,0.0035132,0.00287713,0.0025378,0.00231905
0.0226274,0.00359863,0.00287714,0.00249567,0.00225162
0.0240416,0.00368406,0.00287714,0.00245355,0.00218419
0.0254558,0.00376949,0.00287714,0.00241143,0.00211676
0.0268701,0.00385492,0.00287715,0.0023693,0.00204933
0.0282843,0.00394035,0.00287715,0.00232718,0.0019819
0.0296985,0.00402578,0.00287716,0.00228506,0.00191447
0.0311127,0.00411121,0.00287716,0.00224294,0.00184704
0.0325269,0.00419664,0.00287717,0.00220081,0.00177961
0.0339411,0.00428207,0.00287717,0.00215869,0.00171218
0.0353553,0.0043675,0.00287718,0.00211657,0.00164474
0.0367696,0.00438609,0.00283777,0.00206535,0.00159435
0.0381838,0.00440467,0.00279836,0.00201414,0.00154397
0.039598,0.00442325,0.00275895,0.00196293,0.00149358
0.0410122,0.00444184,0.00271955,0.00191171,0.00144319
0.0424264,0.00446042,0.00268014,0.0018605,0.0013928
0.0438406,0.00447901,0.00264073,0.00180929,0.00134241
0.0452548,0.00449759,0.00260132,0.00175807,0.00129202
0.046669,0.00451617,0.00256191,0.00170686,0.00124163
0.0480833,0.00453476,0.00252251,0.00165564,0.00119124
0.0494975,0.00455334,0.0024831,0.00160443,0.00114085
0.0509117,0.00457192,0.00244369,0.00155322,0.00109046
0.0523259,0.00459051,0.00240428,0.001502,0.00104007
0.0537401,0.00459795,0.00236809,0.0014621,0.00100453
0.0551543,0.00459424,0.00233511,0.00143349,0.000983829
0.0565685,0.00459054,0.00230213,0.00140489,0.00096313
0.0579828,0.00458683,0.00226915,0.00137629,0.000942432
0.059397,0.00458313,0.00223617,0.00134769,0.000921734
0.0608112,0.00457943,0.00220319,0.00131909,0.000901036
0.0622254,0.00457572,0.00217021,0.00129048,0.000880338
0.0636396,0.00457202,0.00213724,0.00126188,0.00085964
0.0650538,0.00456831,0.00210426,0.00123328,0.000838941
0.066468,0.00456461,0.00207128,0.00120468,0.000818243
0.0678823,0.00456091,0.0020383,0.00117608,0.000797545
0.0692965,0.0045572,0.00200532,0.00114748,0.000776847
0.0707107,0.0045535,0.00197234,0.00111887,0.000756149
