"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.000306545,0.000278498,0.000261969,0.000250468
0.00282843,0.00061309,0.000556997,0.000523937,0.000500937
0.00424264,0.000919635,0.000835495,0.000785906,0.000751405
0.00565685,0.00122618,0.00111399,0.00104787,0.00100187
0.00707107,0.00153272,0.00139249,0.00130984,0.00125234
0.00848528,0.00183927,0.00167099,0.00157181,0.00150281
0.0098995,0.00214581,0.00194949,0.00183378,0.00175328
0.0113137,0.00245236,0.00222799,0.00209575,0.00200375
0.0127279,0.0027589,0.00250649,0.00235772,0.00225422
0.0141421,0.00306545,0.00278498,0.00261969,0.00250468
0.0155563,0.00337199,0.00306348,0.00288165,0.00275515
0.0169706,0.00367854,0.00334198,0.00314362,0.00300562
0.0183848,0.00398508,0.00362048,0.00340559,0.00325609
0.019799,0.00429163,0.00389898,0.00366756,0.00350656
0.0212132,0.00459817,0.00417748,0.00392953,0.00375703
0.0226274,0.00490472,0.00445597,0.0041915,0.0040075
0.0240416,0.00521126,0.00473447,0.00445347,0.00425796
0.0254558,0.00551781,0.00501297,0.00471544,0.00450843
0.0268701,0.00582435,0.00529147,0.0049774,0.0047589
0.0282843,0.0061309,0.00556997,0.00523937,0.00500937
0.0296985,0.00643744,0.00584847,0.00550134,0.00525984
0.0311127,0.00674399,0.00612696,0.00576331,0.00551031
0.0325269,0.00705053,0.00640546,0.00602528,0.00576077
0.0339411,0.00735708,0.00668396,0.00628725,0.00601124
0.0353553,0.00766362,0.00696246,0.00654922,0.00626171
0.0367696,0.0077332,0.00695393,0.00649743,0.00618142
0.0381838,0.00780278,0.0069454,0.00644565,0.00610113
0.039598,0.00787235,0.00693686,0.00639386,0.00602083
0.0410122,0.00794193,0.00692833,0.00634208,0.00594054
0.0424264,0.00801151,0.0069198,0.00629029,0.00586025
0.0438406,0.00808108,0.00691127,0.0062385,0.00577996
0.0452548,0.00815066,0.00690274,0.00618672,0.00569966
0.046669,0.00822024,0.00689421,0.00613493,0.00561937
0.0480833,0.00828982,0.00688568,0.00608315,0.00553908
0.0494975,0.00835939,0.00687714,0.00603136,0.00545879
0.0509117,0.00842897,0.00686861,0.00597958,0.00537849
0.0523259,0.00849855,0.00686008,0.00592779,0.0052982
0.0537401,0.00856812,0.00685155,0.00587601,0.00521791
0.0551543,0.0086377,0.00684302,0.00582422,0.00513761
0.0565685,0.00870728,0.00683449,0.00577244,0.00505732
0.0579828,0.00877686,0.00682596,0.00572065,0.00497703
0.059397,0.00884643,0.00681742,0.00566887,0.00489674
0.0608112,0.00891601,0.00680889,0.00561708,0.00481644
0.0622254,0.00898559,0.00680036,0.0055653,0.00473615
0.0636396,0.00905516,0.00679183,0.00551351,0.00465586
0.0650538,0.00912474,0.0067833,0.00546173,0.00457557
0.066468,0.00919432,0.00677477,0.00540994,0.00449527
0.0678823,0.0092639,0.00676624,0.00535816,0.00441498
0.0692965,0.00933347,0.0067577,0.00530637,0.00433469
0.0707107,0.00940305,0.00674917,0.00525459,0.0042544
0.0721249,0.00952161,0.0068047,0.00528925,0.00428256
0.0735391,0.00964017,0.00686023,0.00532391,0.00431073
0.0749533,0.00975872,0.00691576,0.00535857,0.00433889
0.0763675,0.00987728,0.00697129,0.00539323,0.00436706
0.0777817,0.00999584,0.00702682,0.00542789,0.00439522
0.079196,0.0101144,0.00708235,0.00546255,0.00442339
0.0806102,0.010233,0.00713788,0.00549721,0.00445155
0.0820244,0.0103515,0.00719341,0.00553187,0.00447972
0.0834386,0.0104701,0.00724894,0.00556653,0.00450788
0.0848528,0.0105886,0.00730447,0.00560119,0.00453605
0.086267,0.0107072,0.00736,0.00563585,0.00456421
0.0876812,0.0108257,0.00741553,0.00567051,0.00459238
0.0890955,0.0109443,0.00747106,0.00570517,0.00462054
0.0905097,0.0110629,0.00752659,0.00573983,0.00464871
0.0919239,0.0111814,0.00758212,0.00577449,0.00467688
0.0933381,0.0113,0.00763765,0.00580915,0.00470504
0.0947523,0.0114185,0.00769318,0.00584381,0.00473321
0.0961665,0.0115371,0.00774871,0.00587847,0.00476137
0.0975807,0.0116557,0.00780424,0.00591313,0.00478954
0.0989949,0.0117742,0.00785977,0.00594779,0.0048177
0.100409,0.0118928,0.0079153,0.00598245,0.00484587
0.101823,0.0120113,0.00797083,0.00601711,0.00487403
0.103238,0.0121299,0.00802636,0.00605177,0.0049022
0.104652,0.0122484,0.00808189,0.00608643,0.00493036
0.106066,0.012367,0.00813742,0.00612109,0.00495853
0.10748,0.0123068,0.00802641,0.00599921,0.00483563
0.108894,0.0122465,0.0079154,0.00587733,0.00471273
0.110309,0.0121863,0.00780439,0.00575544,0.00458982
0.111723,0.0121261,0.00769338,0.00563356,0.00446692
0.113137,0.0120658,0.00758237,0.00551168,0.00434402
0.114551,0.0120056,0.00747136,0.00538979,0.00422112
0.115966,0.0119453,0.00736035,0.00526791,0.00409822
0.11738,0.0118851,0.00724935,0.00514603,0.00397532
0.118794,0.0118249,0.00713834,0.00502414,0.00385242
0.120208,0.0117646,0.00702733,0.00490226,0.00372952
0.121622,0.0117044,0.00691632,0.00478037,0.00360662
0.123037,0.0116442,0.00680531,0.00465849,0.00348372
0.124451,0.0115839,0.0066943,0.00453661,0.00336081
0.125865,0.0115237,0.00658329,0.00441472,0.00323791
0.127279,0.0114635,0.00647228,0.00429284,0.00311501
0.128693,0.0114032,0.00636127,0.00417096,0.00299211
0.130108,0.011343,0.00625026,0.00404907,0.00286921
0.131522,0.0112828,0.00613925,0.00392719,0.00274631
0.132936,0.0112225,0.00602824,0.0038053,0.00262341
0.13435,0.0111623,0.00591723,0.00368342,0.00250051
0.135765,0.011102,0.00580622,0.00356154,0.0023776
0.137179,0.0110418,0.00569521,0.00343965,0.0022547
0.138593,0.0109816,0.0055842,0.00331777,0.0021318
0.140007,0.0109213,0.00547319,0.00319589,0.0020089
0.141421,0.0108611,0.00536218,0.003074,0.001886
0.142836,0.010963,0.00544028,0.00315838,0.00197996
0.14425,0.0110649,0.00551838,0.00324275,0.00207392
0.145664,0.0111668,0.00559648,0.00332713,0.00216787
0.147078,0.0112687,0.00567459,0.00341151,0.00226183
0.148492,0.0113706,0.00575269,0.00349588,0.00235579
0.149907,0.0114724,0.00583079,0.00358026,0.00244975
0.151321,0.0115743,0.00590889,0.00366463,0.00254371
0.152735,0.0116762,0.00598699,0.00374901,0.00263767
0.154149,0.0117781,0.00606509,0.00383339,0.00273162
0.155563,0.01188,0.00614319,0.00391776,0.00282558
0.156978,0.0119819,0.00622129,0.00400214,0.00291954
0.158392,0.0120838,0.00629939,0.00408652,0.0030135
0.159806,0.0121857,0.00637749,0.00417089,0.00310746
0.16122,0.0122876,0.00645559,0.00425527,0.00320141
0.162635,0.0123895,0.00653369,0.00433964,0.00329537
0.164049,0.0124913,0.00661179,0.00442402,0.00338933
0.165463,0.0125932,0.00668989,0.00450839,0.00348329
0.166877,0.0126951,0.00676799,0.00459277,0.00357725
0.168291,0.012797,0.00684609,0.00467715,0.0036712
0.169706,0.0128989,0.00692419,0.00476152,0.00376516
0.17112,0.0130008,0.00700229,0.0048459,0.00385912
0.172534,0.0131027,0.00708039,0.00493028,0.00395308
0.173948,0.0132046,0.00715849,0.00501465,0.00404704
0.175362,0.0133065,0.00723659,0.00509903,0.00414099
0.176777,0.0134084,0.0073147,0.0051834,0.00423495
0.178191,0.0132861,0.00716935,0.00503781,0.00408959
0.179605,0.0131639,0.007024,0.00489222,0.00394423
0.181019,0.0130417,0.00687866,0.00474663,0.00379887
0.182434,0.0129195,0.00673332,0.00460104,0.00365351
0.183848,0.0127973,0.00658797,0.00445545,0.00350814
0.185262,0.012675,0.00644263,0.00430986,0.00336278
0.186676,0.0125528,0.00629728,0.00416427,0.00321742
0.18809,0.0124306,0.00615194,0.00401868,0.00307206
0.189505,0.0123084,0.00600659,0.00387309,0.0029267
0.190919,0.0121862,0.00586125,0.0037275,0.00278133
0.192333,0.0120639,0.0057159,0.00358191,0.00263597
0.193747,0.0119417,0.00557056,0.00343632,0.00249061
0.195161,0.0118195,0.00542521,0.00329073,0.00234525
0.196576,0.0116973,0.00527987,0.00314514,0.00219989
0.19799,0.0115751,0.00513452,0.00299955,0.00205452
0.199404,0.0114528,0.00498918,0.00285396,0.00190916
0.200818,0.0113306,0.00484383,0.00270837,0.0017638
0.202233,0.0112084,0.00469849,0.00256278,0.00161844
0.203647,0.0110862,0.00455314,0.00241719,0.00147308
0.205061,0.010964,0.0044078,0.0022716,0.00132772
0.206475,0.0108417,0.00426245,0.00212601,0.00118235
0.207889,0.0107195,0.00411711,0.00198041,0.00103699
0.209304,0.0105973,0.00397176,0.00183482,0.000891629
0.210718,0.0104751,0.00382642,0.00168923,0.000746267
0.212132,0.0103529,0.00368107,0.00154364,0.000600907
0.213546,0.0104924,0.00381937,0.00169404,0.00076059
0.21496,0.0106319,0.00395766,0.00184444,0.000920275
0.216375,0.0107715,0.00409595,0.00199485,0.00107996
0.217789,0.010911,0.00423425,0.00214525,0.00123964
0.219203,0.0110506,0.00437254,0.00229565,0.00139933
0.220617,0.0111901,0.00451084,0.00244605,0.00155902
