"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.00372263,0.00376039,0.00378088,0.00379597,0.00094585,0.00799839
0.00282843,0.00744526,0.00752077,0.00756176,0.00759194,0.0018917,0.0159968
0.00424264,0.0111679,0.0112812,0.0113426,0.0113879,0.00283755,0.0239952
0.00565685,0.0148905,0.0150415,0.0151235,0.0151839,0.0037834,0.0319935
0.00707107,0.0186131,0.0188019,0.0189044,0.0189798,0.00472925,0.0399919
0.00848528,0.0223358,0.0225623,0.0226853,0.0227758,0.0056751,0.0479903
0.0098995,0.0260584,0.0263227,0.0264661,0.0265718,0.00662095,0.0559887
0.0113137,0.029781,0.0300831,0.030247,0.0303678,0.0075668,0.0639871
0.0127279,0.0335037,0.0338435,0.0340279,0.0341637,0.00851265,0.0719855
0.0141421,0.0372263,0.0376039,0.0378088,0.0379597,0.0094585,0.0799839
0.0155563,0.0409489,0.0413642,0.0415897,0.0417557,0.0104043,0.0879822
0.0169706,0.0446716,0.0451246,0.0453705,0.0455516,0.0113502,0.0959806
0.0183848,0.0483942,0.048885,0.0491514,0.0493476,0.012296,0.103979
0.019799,0.0521168,0.0526454,0.0529323,0.0531436,0.0132419,0.111977
0.0212132,0.0558394,0.0564058,0.0567132,0.0569395,0.0141877,0.119976
0.0226274,0.0595621,0.0601662,0.0604941,0.0607355,0.0151336,0.127974
0.0240416,0.0632847,0.0639266,0.0642749,0.0645315,0.0160794,0.135973
0.0254558,0.0670073,0.0676869,0.0680558,0.0683274,0.0170253,0.143971
0.0268701,0.07073,0.0714473,0.0718367,0.0721234,0.0179711,0.151969
0.0282843,0.0744526,0.0752077,0.0756176,0.0759194,0.018917,0.159968
0.0296985,0.0781752,0.0789681,0.0793984,0.0797154,0.0198628,0.167966
0.0311127,0.0818978,0.0827285,0.0831793,0.0835113,0.0208087,0.175964
0.0325269,0.0856205,0.0864889,0.0869602,0.0873073,0.0217545,0.183963
0.0339411,0.0893431,0.0902492,0.0907411,0.0911033,0.0227004,0.191961
0.0353553,0.0930657,0.0940096,0.094522,0.0948992,0.0236462,0.19996
0.0367696,0.0967884,0.09777,0.0983028,0.0986952,0.0245921,0.207958
0.0381838,0.100511,0.10153,0.102084,0.102491,0.0255379,0.215956
0.039598,0.104234,0.105291,0.105865,0.106287,0.0264838,0.223955
0.0410122,0.107956,0.109051,0.109645,0.110083,0.0274296,0.231953
0.0424264,0.111679,0.112812,0.113426,0.113879,0.0283755,0.239952
0.0438406,0.115402,0.116572,0.117207,0.117675,0.0293213,0.24795
0.0452548,0.119124,0.120332,0.120988,0.121471,0.0302672,0.255948
0.046669,0.122847,0.124093,0.124769,0.125267,0.031213,0.263947
0.0480833,0.126569,0.127853,0.12855,0.129063,0.0321589,0.271945
0.0494975,0.130292,0.131613,0.132331,0.132859,0.0331047,0.279944
0.0509117,0.134015,0.135374,0.136112,0.136655,0.0340506,0.287942
0.0523259,0.137737,0.139134,0.139892,0.140451,0.0349964,0.29594
0.0537401,0.14146,0.142895,0.143673,0.144247,0.0359423,0.303939
0.0551543,0.145183,0.146655,0.147454,0.148043,0.0368881,0.311937
0.0565685,0.148905,0.150415,0.151235,0.151839,0.037834,0.319935
0.0579828,0.152628,0.154176,0.155016,0.155635,0.0387798,0.327934
0.059397,0.15635,0.157936,0.158797,0.159431,0.0397257,0.335932
0.0608112,0.160073,0.161697,0.162578,0.163227,0.0406715,0.343931
0.0622254,0.163796,0.165457,0.166359,0.167023,0.0416174,0.351929
0.0636396,0.167518,0.169217,0.17014,0.170819,0.0425632,0.359927
0.0650538,0.171241,0.172978,0.17392,0.174615,0.0435091,0.367926
0.066468,0.174964,0.176738,0.177701,0.178411,0.0444549,0.375924
0.0678823,0.178686,0.180498,0.181482,0.182207,0.0454008,0.383923
0.0692965,0.182409,0.184259,0.185263,0.186002,0.0463466,0.391921
0.0707107,0.186131,0.188019,0.189044,0.189798,0.0472925,0.399919
0.0721249,0.184575,0.186416,0.187495,0.188289,0.0482455,0.390957
0.0735391,0.183018,0.184813,0.185946,0.18678,0.0491985,0.381996
0.0749533,0.181461,0.183209,0.184397,0.185272,0.0501515,0.373034
0.0763675,0.179904,0.181606,0.182849,0.183763,0.0511044,0.364072
0.0777817,0.178347,0.180002,0.1813,0.182254,0.0520574,0.35511
0.079196,0.17679,0.178399,0.179751,0.180745,0.0530104,0.346148
0.0806102,0.175233,0.176796,0.178202,0.179236,0.0539634,0.337186
0.0820244,0.173676,0.175192,0.176653,0.177727,0.0549164,0.328225
0.0834386,0.172119,0.173589,0.175104,0.176218,0.0558694,0.319263
0.0848528,0.170562,0.171986,0.173556,0.174709,0.0568224,0.310301
0.086267,0.169005,0.170382,0.172007,0.1732,0.0577753,0.301339
0.0876812,0.167448,0.168779,0.170458,0.171691,0.0587283,0.292377
0.0890955,0.165891,0.167175,0.168909,0.170182,0.0596813,0.283415
0.0905097,0.164334,0.165572,0.16736,0.168673,0.0606343,0.274454
0.0919239,0.162777,0.163969,0.165811,0.167164,0.0615873,0.265492
0.0933381,0.16122,0.162365,0.164263,0.165655,0.0625403,0.25653
0.0947523,0.159663,0.160762,0.162714,0.164146,0.0634933,0.247568
0.0961665,0.158106,0.159159,0.161165,0.162637,0.0644463,0.238606
0.0975807,0.156549,0.157555,0.159616,0.161128,0.0653992,0.229645
0.0989949,0.154992,0.155952,0.158067,0.159619,0.0663522,0.220683
0.100409,0.153435,0.154348,0.156518,0.15811,0.0673052,0.211721
0.101823,0.151878,0.152745,0.15497,0.156601,0.0682582,0.202759
0.103238,0.150321,0.151142,0.153421,0.155092,0.0692112,0.193797
0.104652,0.148764,0.149538,0.151872,0.153583,0.0701642,0.184835
0.106066,0.147207,0.147935,0.150323,0.152074,0.0711172,0.175873
0.10748,0.14565,0.146332,0.148774,0.150565,0.0720701,0.166912
0.108894,0.144093,0.144728,0.147226,0.149056,0.0730231,0.15795
0.110309,0.142537,0.143125,0.145677,0.147547,0.0739761,0.148988
0.111723,0.14098,0.141521,0.144128,0.146038,0.0749291,0.140026
0.113137,0.139423,0.139918,0.142579,0.144529,0.0758821,0.131064
0.114551,0.137866,0.138315,0.14103,0.14302,0.0768351,0.122103
0.115966,0.136309,0.136711,0.139481,0.141511,0.0777881,0.113141
0.11738,0.134752,0.135108,0.137933,0.140002,0.078741,0.104179
0.118794,0.133195,0.133505,0.136384,0.138493,0.079694,0.095217
0.120208,0.131638,0.131901,0.134835,0.136984,0.080647,0.0862552
0.121622,0.130081,0.130298,0.133286,0.135475,0.0816,0.0772933
0.123037,0.128524,0.128695,0.131737,0.133966,0.082553,0.0683315
0.124451,0.126967,0.127091,0.130188,0.132457,0.083506,0.0593697
0.125865,0.12541,0.125488,0.12864,0.130948,0.084459,0.0504078
0.127279,0.123853,0.123884,0.127091,0.129439,0.085412,0.041446
0.128693,0.122296,0.122281,0.125542,0.12793,0.0863649,0.0324842
0.130108,0.120739,0.120678,0.123993,0.126421,0.0873179,0.0235223
0.131522,0.119182,0.119074,0.122444,0.124912,0.0882709,0.0145605
0.132936,0.117625,0.117471,0.120895,0.123403,0.0892239,0.00559871
0.13435,0.116068,0.115868,0.119347,0.121894,0.0901769,-0.00336314
0.135765,0.114511,0.114264,0.117798,0.120385,0.0911299,-0.012325
0.137179,0.112954,0.112661,0.116249,0.118876,0.0920829,-0.0212868
0.138593,0.111397,0.111057,0.1147,0.117367,0.0930358,-0.0302486
0.140007,0.10984,0.109454,0.113151,0.115858,0.0939888,-0.0392105
0.141421,0.108283,0.107851,0.111602,0.114349,0.0949418,-0.0481723
0.142836,0.112138,0.111811,0.115431,0.118056,0.0959004,-0.0361057
0.14425,0.115993,0.115771,0.11926,0.121764,0.0968589,-0.0240392
0.145664,0.119848,0.119732,0.123089,0.125471,0.0978174,-0.0119726
0.147078,0.123703,0.123692,0.126918,0.129178,0.098776,9.4033e-05
0.148492,0.127557,0.127652,0.130747,0.132885,0.0997345,0.0121605
0.149907,0.131412,0.131613,0.134576,0.136592,0.100693,0.0242271
0.151321,0.135267,0.135573,0.138405,0.140299,0.101652,0.0362938
0.152735,0.139122,0.139533,0.142234,0.144007,0.10261,0.0483604
