"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.000287853,0.000256879,0.00023981,0.000228582
0.00282843,0.000575706,0.000513758,0.00047962,0.000457164
0.00424264,0.000863559,0.000770637,0.00071943,0.000685746
0.00565685,0.00115141,0.00102752,0.00095924,0.000914328
0.00707107,0.00143927,0.00128439,0.00119905,0.00114291
0.00848528,0.00172712,0.00154127,0.00143886,0.00137149
0.0098995,0.00201497,0.00179815,0.00167867,0.00160007
0.0113137,0.00230282,0.00205503,0.00191848,0.00182866
0.0127279,0.00259068,0.00231191,0.00215829,0.00205724
0.0141421,0.00287853,0.00256879,0.0023981,0.00228582
0.0155563,0.00316638,0.00282567,0.00263791,0.0025144
0.0169706,0.00345424,0.00308255,0.00287772,0.00274298
0.0183848,0.00374209,0.00333943,0.00311753,0.00297156
0.019799,0.00402994,0.00359631,0.00335734,0.00320015
0.0212132,0.0043178,0.00385318,0.00359715,0.00342873
0.0226274,0.00460565,0.00411006,0.00383696,0.00365731
0.0240416,0.0048935,0.00436694,0.00407677,0.00388589
0.0254558,0.00518135,0.00462382,0.00431658,0.00411447
0.0268701,0.00546921,0.0048807,0.00455639,0.00434306
0.0282843,0.00575706,0.00513758,0.0047962,0.00457164
0.0296985,0.00604491,0.00539446,0.00503601,0.00480022
0.0311127,0.00633277,0.00565134,0.00527582,0.0050288
0.0325269,0.00662062,0.00590822,0.00551563,0.00525738
0.0339411,0.00690847,0.00616509,0.00575544,0.00548597
0.0353553,0.00719633,0.00642197,0.00599525,0.00571455
0.0367696,0.00721516,0.00635902,0.0058911,0.00558521
0.0381838,0.007234,0.00629607,0.00578695,0.00545586
0.039598,0.00725284,0.00623312,0.0056828,0.00532652
0.0410122,0.00727168,0.00617017,0.00557866,0.00519718
0.0424264,0.00729052,0.00610721,0.00547451,0.00506784
0.0438406,0.00730936,0.00604426,0.00537036,0.00493849
0.0452548,0.00732819,0.00598131,0.00526621,0.00480915
0.046669,0.00734703,0.00591836,0.00516207,0.00467981
0.0480833,0.00736587,0.00585541,0.00505792,0.00455047
